State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,HA_10,HA,6.944057,11.24639,699,27,grid - Intensification,3
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Tudun Raha,HA,6.230335,10.668306,1482,255,grid,3
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Unguwar Galadima,BUA,6.951822,11.25204,15338,550,grid - Intensification,4
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Magajin Gari 2,BUA,6.537592,10.669703,47488,1697,grid - Intensification,4
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Ung Ayuba Sabuwan Unguwa,BUA,6.899289,11.056261,8684,313,grid - Intensification,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Mando,BUA,6.565747,10.71138,2430,90,grid - Intensification,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Meagan 2,BUA,6.624249,10.70931,3175,116,grid - Intensification,4
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Ldi Labo,SSA,6.49559,10.648786,110,20,grid,4
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,FARIN RUWA UNGUWAR SARKI,BUA,6.787307,11.071778,1158,44,grid - Intensification,4
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Magajin Gari 1,BUA,6.545333,10.662934,26700,955,grid - Intensification,4
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Mangwarori,HA,6.168499,10.563868,427,75,grid,4
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Hayin Mata,BUA,6.907173,11.21461,4627,168,grid - Intensification,4
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Unguwar Alhaji Musa,HA,6.216221,10.695733,336,61,grid,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Layin Mai Gwar,BUA,6.711422,10.837157,3968,145,grid - Intensification,4
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Kiriyoyi 1,HA,6.730573,10.87276,612,107,grid,4
Kaduna,KD,Dogondawa,KD0108,Birnin Gwari,19001,Sabon Gari Gabas,BUA,7.086146,11.039311,9267,333,grid - Intensification,4
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwar Alhaji,BUA,6.143095,10.547463,7565,273,grid - Intensification,4
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwar Labi,HA,6.185056,10.580352,244,44,grid,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Layin Tambai Machanic,BUA,6.638446,10.792715,10680,384,grid - Intensification,4
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Unguwan Nakiya,HA,6.511321,10.627624,154,29,grid,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Babban Udawa,HA,7.014315,10.633383,274,48,grid,4
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Unguwar Abubakar Bakaniki,BUA,6.75533,10.924472,9223,332,grid - Intensification,4
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Tashar Keji Mai anguwa Hassan,BUA,6.394258,10.662666,1416,53,grid - Intensification,4
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Dangamji Unguwan Saidu,HA,6.668214,10.800795,275,48,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Fiyau,HA,6.225163,10.683374,339,61,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Sabon Garin Gagumi,BUA,6.226472,10.652342,2292,85,grid - Intensification,5
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Bafarawa,HA,6.810925,11.107327,308,14,grid - Intensification,5
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Jaruwa,BUA,6.95608,11.054099,1074,41,grid - Intensification,5
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Unguwar Makera Alhaji Ya'u,SSA,6.866077,11.189185,310,56,grid,5
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwan Kadagi,HA,6.213687,10.627652,202,38,grid,5
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Unguwar Shehu Bala,BUA,6.746938,10.726193,2058,76,grid - Intensification,5
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Marmara II,HA,6.617382,10.777746,291,52,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Unguwan Gobirawa,BUA,6.354772,10.651731,9081,327,grid - Intensification,5
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,HA_166,HA,6.148446,10.550825,364,16,grid - Intensification,5
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,RUGAN MALLAM IDI,HA,6.813837,11.061925,229,41,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Chikwarba Anguwan Na Umma,HA,6.280078,10.648107,460,81,grid,5
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Hayin Gada,BUA,6.976396,11.044426,2040,75,grid - Intensification,5
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwar Danfillo,HA,6.20137,10.610781,308,55,grid,5
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Unguwan Rimi,HA,6.426463,10.665241,418,73,grid,5
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Janruwa,HA,6.793198,10.980825,522,92,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Chikwarba Anguwan Dutse,SSA,6.299547,10.653809,145,27,grid,5
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Falwaya 1,BUA,6.687793,10.705807,1700,64,grid - Intensification,5
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,BUA_12,BUA,6.983318,11.297001,3314,121,grid - Intensification,5
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Jiba,SSA,7.037429,11.038418,248,44,grid,5
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Unguwar Liman,HA,6.583724,10.682486,161,31,grid,5
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,Unguwar Ahmed,BUA,7.005052,11.330587,1568,60,grid - Intensification,5
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwar Bula,SSA,6.187573,10.586114,129,23,grid,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Tudun Wada,HA,6.336697,10.643368,1699,64,grid - Intensification,5
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Bagoma,BUA,6.529389,10.647497,2519,93,grid - Intensification,5
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Amana,SSA,6.972806,11.046358,72,7,grid - Intensification,5
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,SSA_14,SSA,6.98831,11.307287,211,11,grid - Intensification,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Unguwar Liman Umaru,BUA,6.208456,10.705883,2583,95,grid - Intensification,5
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Kungi,BUA,6.606648,10.756682,946,37,grid - Intensification,5
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Jangali,HA,6.517551,10.639979,138,25,grid,5
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,RUGAN MALLAM MU AZU,HA,6.835877,11.073991,203,38,grid,5
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Farin Batu,SSA,6.923545,11.229755,397,17,grid - Intensification,5
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Kwanar Shehu,HA,6.593675,10.691827,688,120,grid,5
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwar Tandama,HA,6.192096,10.595001,156,30,grid,5
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Unguwan Katsinawa A,BUA,6.991033,11.045553,20330,728,grid - Intensification,5
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Tashar Keji Mai anguwa Ibrahim,BUA,6.390249,10.662802,1574,60,grid - Intensification,5
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Badole Old Gwari Ung Dan Dandutse,SSA,6.791295,11.024027,218,11,grid - Intensification,6
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Takama,SSA,7.057237,11.034472,251,12,grid - Intensification,6
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Kirazo,SSA,6.72159,10.859399,267,13,grid - Intensification,6
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Mangorori,BUA,6.855742,11.166182,2058,76,grid - Intensification,6
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Unguwar Shekarau,HA,6.563101,10.676768,265,13,grid - Intensification,6
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Gobirawa Gabasawa,BUA,6.834141,11.12666,1854,69,grid - Intensification,6
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,UNGUWAR MALLAM SALEH,HA,6.802822,11.060669,63,14,grid,6
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Fadaman Rake,HA,6.234091,10.639478,1010,175,grid,6
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Gwandu,SSA,6.882252,11.19669,380,16,grid - Intensification,6
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Anguwan Sarkin Noma,SSA,6.573035,10.679196,81,16,grid,6
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Marmara,HA,6.465004,10.649018,64,14,grid,6
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,BUA_15,BUA,6.979896,11.289236,1684,63,grid - Intensification,6
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Old Gwari Unguwar Hassan Makama,HA,6.786256,11.017897,877,35,grid - Intensification,7
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,HA_87,HA,6.482197,10.640572,36,10,grid,7
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Anguwan Kanama,SSA,6.296402,10.65242,68,14,grid,7
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,HA_101,HA,6.820868,11.066456,140,25,grid,7
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,HA_46,HA,6.688702,10.81329,223,41,grid,7
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,RUGAR NOMAU GORA,HA,6.796699,11.060641,167,33,grid,7
Kaduna,KD,Kuyello,KD0110,Birnin Gwari,19001,Unguwar Alhaji,HA,6.855012,11.174783,299,14,grid - Intensification,7
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,SSA_15,SSA,6.98726,11.304136,309,14,grid - Intensification,7
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Rugan Alhaji Yunusa,HA,6.502888,10.617184,226,41,grid,7
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,Unguwan Galadima,HA,6.17373,10.575571,180,35,grid,7
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Ldi Tela,HA,6.494833,10.645541,281,49,grid,7
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Unguwan Zaria,HA,6.610955,10.775352,175,34,grid,7
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Chikwarba Anguwan Goga,HA,6.276147,10.642796,296,53,grid,7
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Rugar Muhammadu Bello,HA,6.255928,10.65526,632,110,grid,7
Kaduna,KD,Randagi,KD0106,Birnin Gwari,19001,HA_7,HA,6.211678,10.619203,316,57,grid,8
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Rugar Ganai,HA,6.631351,10.772618,560,98,grid,8
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,HA_62,HA,6.268952,10.649967,55,13,grid,8
Kaduna,KD,Kakangi,KD0102,Birnin Gwari,19001,Chikwarba Anguwan Goje,HA,6.288647,10.654353,793,137,grid,8
Kaduna,KD,Gayam,KD0101,Birnin Gwari,19001,Unguwar Wakili Maitama,HA,6.641234,10.771212,554,96,grid,8
Kaduna,KD,Magajin Gari 1,KD0103,Birnin Gwari,19001,Low Cost,HA,6.557118,10.671969,191,11,grid - Intensification,8
Kaduna,KD,Magajin Gari 3,KD0105,Birnin Gwari,19001,Badole Old Gwari Ung Alhaji Audu,SSA,6.79197,11.022012,127,9,grid - Intensification,8
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,HA_98,HA,6.509688,10.65417,113,21,grid,8
Kaduna,KD,Magajin Gari 2,KD0104,Birnin Gwari,19001,Unguwan Fari Hakimi,HA,6.51074,10.66111,571,99,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Unguwan Ori,HA,7.040617,11.039447,171,33,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Rugan Musa,HA,7.041626,11.053582,369,66,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Hayin Madaki,SSA,7.04062,11.059517,256,45,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Gwanda,BUA,7.044838,11.066716,1144,197,grid,8
Kaduna,KD,Tabanni,KD0111,Birnin Gwari,19001,Tashar Bawa,HA,7.012154,11.347302,667,116,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Unguwan Malamai,SSA,7.043738,11.071772,188,36,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Ritafi,SSA,7.031102,11.077182,122,22,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Rugan Yalli,HA,7.030488,11.086539,54,12,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,SSA_25,SSA,7.028032,11.092276,237,43,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Maikulu 1,SSA,7.024306,11.090021,288,51,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Maikulu2,SSA,7.020038,11.087583,71,15,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,HA_202,HA,7.011101,11.091084,141,25,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,HA_509,HA,7.007181,11.099825,69,15,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,HA_510,HA,6.997012,11.102298,90,18,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Rugar Jaae,HA,6.987813,11.11378,18,7,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Anguwar Sule,BUA,7.002951,11.121418,4795,818,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Unguwan Maitebiri,HA,7.011696,11.106991,502,89,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Hayin Nakaka,SSA,7.020602,11.109361,188,36,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Rugan Alhaji Iliya,HA,7.031698,11.11403,219,40,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,HA_20,HA,7.029085,11.120934,155,29,grid,8
Kaduna,KD,Damari,KD0107,Birnin Gwari,19001,Unguwan Mori,HA,7.031092,11.130598,173,34,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Unguwar Maro,HA,7.025857,11.142952,647,113,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Rugar Alhaji Haruna,HA,7.02436,11.148807,168,33,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Rugar Alhaji Ahassan,HA,7.02958,11.151747,73,15,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Gidan Malam Shehu,HA,7.032258,11.156923,115,21,grid,8
Kaduna,KD,Kutemeshi,KD0109,Birnin Gwari,19001,Rugar Alhaji Isa,HA,7.021743,11.163293,112,21,grid,8
