State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Kunai,KD0205,Chikun,19002,SSA_22,SSA,7.230688,10.629745,98,8,grid - Intensification,3
Kaduna,KD,Rido,KD0209,Chikun,19002,Unguwar Mai Gero,BUA,7.459306,10.485894,13791,417,grid - Intensification,3
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,Dutse,BUA,7.354673,10.27768,2226,82,grid - Intensification,3
Kaduna,KD,Yelwa,KD0212,Chikun,19002,Yelwa A,BUA,7.439699,10.447966,28330,852,grid - Intensification,3
Kaduna,KD,Kunai,KD0205,Chikun,19002,Kunai,BUA,7.234854,10.617469,24147,864,grid - Intensification,3
Kaduna,KD,Narayi,KD0207,Chikun,19002,Narayi,BUA,7.450139,10.46366,93826,2812,grid - Intensification,4
Kaduna,KD,Kujama,KD0204,Chikun,19002,Kujama Gari,BUA,7.636636,10.457408,3082,113,grid - Intensification,4
Kaduna,KD,Sabon Tasha,KD0211,Chikun,19002,Sabon Tasha,BUA,7.462198,10.446697,125596,3763,grid - Intensification,4
Kaduna,KD,Nassarawa,KD0208,Chikun,19002,Nassarawa,BUA,7.397439,10.474287,45436,1363,grid - Intensification,4
Kaduna,KD,Kunai,KD0205,Chikun,19002,Unguwan Sani Mai Iyali,BUA,6.929218,10.632934,14367,516,grid - Intensification,4
Kaduna,KD,Kujama,KD0204,Chikun,19002,Gonan Isah,HA,7.601024,10.457279,2714,464,grid,4
Kaduna,KD,Kujama,KD0204,Chikun,19002,Kadara,BUA,7.635755,10.478695,16667,598,grid - Intensification,4
Kaduna,KD,Kakau,KD0203,Chikun,19002,Kakau,BUA,7.408046,10.41004,42714,1282,grid - Intensification,4
Kaduna,KD,Rido,KD0209,Chikun,19002,Gidan Daji,SSA,7.47836,10.526657,265,13,grid - Intensification,4
Kaduna,KD,Rido,KD0209,Chikun,19002,Kadage,BUA,7.485718,10.523089,15125,4531,grid,4
Kaduna,KD,Yelwa,KD0212,Chikun,19002,Yelwa B,BUA,7.420511,10.433116,25209,759,grid - Intensification,4
Kaduna,KD,Kunai,KD0205,Chikun,19002,Baban Udawa Kuda,HA,7.003642,10.63241,422,74,grid,4
Kaduna,KD,Kuriga,KD0206,Chikun,19002,Kuringa,BUA,6.805706,10.703654,9053,326,grid - Intensification,4
Kaduna,KD,Sabon Gari Nassarawa,KD0210,Chikun,19002,Sabon Gari Nassarawa,BUA,7.395343,10.457998,15234,460,grid - Intensification,4
Kaduna,KD,Kujama,KD0204,Chikun,19002,Unguwar Mission,BUA,7.626692,10.463097,4264,155,grid - Intensification,4
Kaduna,KD,Kunai,KD0205,Chikun,19002,Sabon Gida Udawa,HA,6.986244,10.643425,324,59,grid,4
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_16,HA,7.662531,10.440035,57,6,grid - Intensification,4
Kaduna,KD,Rido,KD0209,Chikun,19002,Maruba,BUA,7.523884,10.424212,38641,1161,grid - Intensification,5
Kaduna,KD,Kunai,KD0205,Chikun,19002,Mill Biyu,SSA,6.96223,10.643388,196,37,grid,5
Kaduna,KD,Kujama,KD0204,Chikun,19002,Sabon Gero,SSA,7.528659,10.536211,251,12,grid - Intensification,5
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_52,HA,7.52334,10.535107,418,17,grid - Intensification,5
Kaduna,KD,Rido,KD0209,Chikun,19002,Sabon Garin Dan Honu B,HA,7.51572,10.536065,1422,244,grid,5
Kaduna,KD,Rido,KD0209,Chikun,19002,Dan Honu B,SSA,7.505873,10.536492,316,57,grid,5
Kaduna,KD,Rido,KD0209,Chikun,19002,New Estate,SSA,7.497205,10.528693,138,25,grid,5
Kaduna,KD,Rido,KD0209,Chikun,19002,HA_31,HA,7.492013,10.53719,59,13,grid,5
Kaduna,KD,Rido,KD0209,Chikun,19002,Dan Bushiya,BUA,7.486472,10.537789,12027,3604,grid,5
Kaduna,KD,Rido,KD0209,Chikun,19002,Unguwar Dagye,BUA,7.488468,10.457216,16766,505,grid - Intensification,5
Kaduna,KD,Rido,KD0209,Chikun,19002,Jan Ruwa,BUA,7.484797,10.467419,3223,969,grid,5
Kaduna,KD,Kuriga,KD0206,Chikun,19002,Tashan Tsuntsaye,SSA,6.768763,10.723191,224,41,grid,5
Kaduna,KD,Kakau,KD0203,Chikun,19002,Toll Gate,HA,7.394769,10.339775,2615,96,grid - Intensification,5
Kaduna,KD,Kakau,KD0203,Chikun,19002,Unguwan Kadara,SSA,7.398621,10.372178,129,9,grid - Intensification,5
Kaduna,KD,Kakau,KD0203,Chikun,19002,Katsinawa,BUA,7.387244,10.31407,17715,635,grid - Intensification,5
Kaduna,KD,Kujama,KD0204,Chikun,19002,Keke,BUA,7.492927,10.55434,6845,208,grid - Intensification,5
Kaduna,KD,Kujama,KD0204,Chikun,19002,Sabon Gari,SSA,7.530177,10.554171,373,16,grid - Intensification,5
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_24,HA,7.613963,10.45851,156,30,grid,5
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,Kwanan Bature,HA,7.361837,10.160956,1490,56,grid - Intensification,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_40,HA,7.628435,10.492396,122,8,grid - Intensification,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Unguwar Prison,SSA,7.617273,10.45887,134,24,grid,6
Kaduna,KD,Kuriga,KD0206,Chikun,19002,Ungwan Malam Hayin Gada,SSA,6.799645,10.706102,276,13,grid - Intensification,6
Kaduna,KD,Kunai,KD0205,Chikun,19002,HA_114,HA,6.941807,10.636317,145,9,grid - Intensification,6
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,Kassarami,HA,7.369596,10.087902,1926,71,grid - Intensification,6
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,HA_76,HA,7.358721,10.28223,480,19,grid - Intensification,6
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,Sabon Gari,HA,7.366717,10.102764,290,51,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Unguwan Galadima,HA,7.682349,10.414139,228,41,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Unguwan Adiko,HA,7.681951,10.420434,582,101,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Toko,HA,7.687869,10.421158,649,113,grid,6
Kaduna,KD,Kakau,KD0203,Chikun,19002,Fanga,HA,7.38838,10.414321,166,10,grid - Intensification,6
Kaduna,KD,Kunai,KD0205,Chikun,19002,HA_77,HA,6.949966,10.638259,107,20,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Unguwan Kwabi,HA,7.517996,10.555858,688,27,grid - Intensification,6
Kaduna,KD,Gwagwada,KD0202,Chikun,19002,HA_24,HA,7.352657,10.236767,435,18,grid - Intensification,6
Kaduna,KD,Kakau,KD0203,Chikun,19002,Sabon Gida,HA,7.376933,10.344889,353,15,grid - Intensification,6
Kaduna,KD,Rido,KD0209,Chikun,19002,HA_23,HA,7.472497,10.494893,66,7,grid - Intensification,6
Kaduna,KD,Rido,KD0209,Chikun,19002,SSA_1,SSA,7.469731,10.497983,92,8,grid - Intensification,6
Kaduna,KD,Rido,KD0209,Chikun,19002,HA_25,HA,7.474573,10.501341,90,18,grid,6
Kaduna,KD,Rido,KD0209,Chikun,19002,Banbansauro,BUA,7.472261,10.509759,5066,1520,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_25,HA,7.607527,10.462256,458,80,grid,6
Kaduna,KD,Kunai,KD0205,Chikun,19002,Mill Biyu Hayi,SSA,6.966316,10.645618,56,13,grid,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_18,HA,7.654842,10.44735,64,7,grid - Intensification,6
Kaduna,KD,Kujama,KD0204,Chikun,19002,Bukka,HA,7.651252,10.456978,402,17,grid - Intensification,6
Kaduna,KD,Yelwa,KD0212,Chikun,19002,Gbagyi Villa,BUA,7.439296,10.430921,2206,70,grid - Intensification,7
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_12,HA,7.669378,10.423031,75,15,grid,7
Kaduna,KD,Rido,KD0209,Chikun,19002,Unguwar Bagudu,BUA,7.499854,10.446343,7884,240,grid - Intensification,7
Kaduna,KD,Rido,KD0209,Chikun,19002,New Extension Rido,BUA,7.508731,10.430448,3860,119,grid - Intensification,7
Kaduna,KD,Rido,KD0209,Chikun,19002,Kafam,HA,7.499541,10.419845,1985,340,grid,7
Kaduna,KD,Kujama,KD0204,Chikun,19002,HA_13,HA,7.635281,10.466051,519,20,grid - Intensification,7
Kaduna,KD,Rido,KD0209,Chikun,19002,Unguwar Jatau,SSA,7.5094,10.407861,109,20,grid,7
Kaduna,KD,Rido,KD0209,Chikun,19002,Fulanin Amadu,HA,7.506773,10.402937,258,46,grid,7
Kaduna,KD,Rido,KD0209,Chikun,19002,Hayin Rido,SSA,7.505843,10.399742,66,14,grid,7
