State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Wazata,KD0310,Giwa,19003,Fulera,HA,7.497797,11.085821,30,6,grid - Intensification,3
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Anguwar Kawo Rugar Ali,SSA,7.286635,11.271289,16,5,grid - Intensification,3
Kaduna,KD,Idasu,KD0305,Giwa,19003,Kagara,HA,7.267041,11.263196,13,5,grid - Intensification,3
Kaduna,KD,Danmahawayi,KD0301,Giwa,19003,HA_8,HA,7.583631,11.260338,11,5,grid - Intensification,3
Kaduna,KD,Giwa,KD0304,Giwa,19003,Rugar Chedi,HA,7.430893,11.281065,48,6,grid - Intensification,3
Kaduna,KD,Idasu,KD0305,Giwa,19003,Kwakware B Gabas,BUA,7.23855,11.254066,18069,648,grid - Intensification,3
Kaduna,KD,Panhauya,KD0308,Giwa,19003,Farin Gida,HA,7.608352,11.092335,320,14,grid - Intensification,4
Kaduna,KD,Kidandan,KD0307,Giwa,19003,Tumburku Hayin Teacher,HA,7.275911,11.071733,221,11,grid - Intensification,4
Kaduna,KD,Galadimawa,KD0302,Giwa,19003,Unguwar Mallam Ibrahim,BUA,7.33507,11.055481,9955,358,grid - Intensification,4
Kaduna,KD,Giwa,KD0304,Giwa,19003,G.G.S.S Giwa,BUA,7.465462,11.255815,15887,570,grid - Intensification,4
Kaduna,KD,Kidandan,KD0307,Giwa,19003,Sabon Layi,BUA,7.217395,11.066404,1491,256,grid,4
Kaduna,KD,Shika,KD0309,Giwa,19003,NAPRI Quarters,HA,7.56736,11.20129,314,14,grid - Intensification,4
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Layin Gabas,BUA,7.328636,11.218222,2074,355,grid,4
Kaduna,KD,Gangara,KD0303,Giwa,19003,Ungwar Chiroma,BUA,7.384426,11.340746,10377,373,grid - Intensification,4
Kaduna,KD,Shika,KD0309,Giwa,19003,Shika,BUA,7.564413,11.199498,16878,605,grid - Intensification,4
Kaduna,KD,Shika,KD0309,Giwa,19003,Hayin Gada,HA,7.57582,11.194239,1048,40,grid - Intensification,4
Kaduna,KD,Giwa,KD0304,Giwa,19003,Layin Madaki,BUA,7.416802,11.278784,6517,235,grid - Intensification,4
Kaduna,KD,Kidandan,KD0307,Giwa,19003,Sabon Sara,BUA,7.234666,11.068748,1404,241,grid,4
Kaduna,KD,Danmahawayi,KD0301,Giwa,19003,Danmahawayi Unguwar,BUA,7.575697,11.309794,2883,106,grid - Intensification,4
Kaduna,KD,Shika,KD0309,Giwa,19003,Tsubiri,BUA,7.537423,11.193426,2466,91,grid - Intensification,4
Kaduna,KD,Kakangi,KD0306,Giwa,19003,Unguwan Mai Randa,HA,7.452562,11.205364,151,9,grid - Intensification,4
Kaduna,KD,Idasu,KD0305,Giwa,19003,Kofar Juma,BUA,7.297024,11.165439,6248,226,grid - Intensification,4
Kaduna,KD,Giwa,KD0304,Giwa,19003,Tudun Wada,BUA,7.456493,11.262123,2026,75,grid - Intensification,4
Kaduna,KD,Shika,KD0309,Giwa,19003,Napri Quarters,HA,7.562212,11.204755,1824,68,grid - Intensification,4
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Kwarare,HA,7.321069,11.199225,418,73,grid,4
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Katoge,BUA,7.395585,11.264877,7060,255,grid - Intensification,4
Kaduna,KD,Wazata,KD0310,Giwa,19003,Kundu Mai Unguwar Dan Inna,HA,7.551937,11.09236,1992,73,grid - Intensification,4
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Badole,SSA,7.379523,11.258454,381,16,grid - Intensification,5
Kaduna,KD,Panhauya,KD0308,Giwa,19003,Biye Kofar,BUA,7.584436,11.160168,3811,139,grid - Intensification,5
Kaduna,KD,Shika,KD0309,Giwa,19003,Unguwar Yankwari,BUA,7.537825,11.219827,6842,247,grid - Intensification,5
Kaduna,KD,Wazata,KD0310,Giwa,19003,Gidan Mansir,BUA,7.502082,11.094855,1875,69,grid - Intensification,5
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Garawa Fulani,HA,7.282369,11.250176,419,17,grid - Intensification,5
Kaduna,KD,Danmahawayi,KD0301,Giwa,19003,Unguwar Magaji,BUA,7.550747,11.252593,2593,95,grid - Intensification,5
Kaduna,KD,Giwa,KD0304,Giwa,19003,Tashan Dundu,SSA,7.488454,11.242899,198,11,grid - Intensification,5
Kaduna,KD,Kakangi,KD0306,Giwa,19003,Layin Dan London,BUA,7.455897,11.256061,14589,523,grid - Intensification,5
Kaduna,KD,Danmahawayi,KD0301,Giwa,19003,Maje Gari,SSA,7.552516,11.278374,293,14,grid - Intensification,5
Kaduna,KD,Shika,KD0309,Giwa,19003,Mahuta,SSA,7.587249,11.21355,232,12,grid - Intensification,5
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Gabashi,HA,7.335879,11.249517,1010,39,grid - Intensification,5
Kaduna,KD,Kidandan,KD0307,Giwa,19003,Iyatawa Ung Baki,BUA,7.396178,11.058645,2881,106,grid - Intensification,5
Kaduna,KD,Wazata,KD0310,Giwa,19003,Unguwar Barebari,BUA,7.48901,11.012333,3495,127,grid - Intensification,5
Kaduna,KD,Panhauya,KD0308,Giwa,19003,HA_2,HA,7.59046,11.103957,113,8,grid - Intensification,5
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Garawa A,SSA,7.28452,11.257414,161,10,grid - Intensification,5
Kaduna,KD,Kakangi,KD0306,Giwa,19003,Turawa,BUA,7.456824,11.17825,2984,109,grid - Intensification,5
Kaduna,KD,Yakawada,KD0311,Giwa,19003,Unguwar Dan Yaya,SSA,7.294743,11.240943,391,17,grid - Intensification,5
