State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Turunku,KD0411,Igabi,19004,Rugan Mallam Lawal,HA,7.656657,10.896814,2,5,grid - Intensification,3
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Rugar Halilu,SSA,7.523695,10.79405,65,7,grid - Intensification,3
Kaduna,KD,Sabon Birnin,KD0410,Igabi,19004,HA_7,HA,7.348274,10.758723,38,6,grid - Intensification,3
Kaduna,KD,Afaka,KD0401,Igabi,19004,HA_14,HA,7.414622,10.62459,15,5,grid - Intensification,3
Kaduna,KD,Kwarau,KD0407,Igabi,19004,HA_30,HA,7.571998,10.730322,51,6,grid - Intensification,3
Kaduna,KD,Afaka,KD0401,Igabi,19004,HA_30,HA,7.356455,10.674979,33,6,grid - Intensification,3
Kaduna,KD,Sabon Birnin,KD0410,Igabi,19004,Kida,SSA,7.363275,10.774293,57,6,grid - Intensification,3
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Rugar Mangal,HA,7.590434,10.831931,2,5,grid - Intensification,3
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Rugar Hussaini,HA,7.599023,10.851432,79,7,grid - Intensification,3
Kaduna,KD,Afaka,KD0401,Igabi,19004,HA_57,HA,7.349368,10.733637,44,6,grid - Intensification,3
Kaduna,KD,Sabon Birnin,KD0410,Igabi,19004,Rugar Hassan,HA,7.336389,10.781174,22,5,grid - Intensification,3
Kaduna,KD,Rigasa,KD0409,Igabi,19004,Layin Asibiti,BUA,7.402563,10.565205,3076,96,grid - Intensification,3
Kaduna,KD,Kwarau,KD0407,Igabi,19004,Yarmakau,BUA,7.511475,10.696602,65683,2346,grid - Intensification,3
Kaduna,KD,Rigachikun,KD0408,Igabi,19004,Rigachikun,BUA,7.476681,10.591719,76503,2294,grid - Intensification,3
Kaduna,KD,Rigachikun,KD0408,Igabi,19004,Hayin Dogo,SSA,7.467204,10.636018,144,9,grid - Intensification,3
Kaduna,KD,Rigasa,KD0409,Igabi,19004,Rigasa,BUA,7.379085,10.52555,282005,8445,grid - Intensification,3
Kaduna,KD,Turunku,KD0411,Igabi,19004,Ungwar Gwani,BUA,7.636371,10.875469,8279,298,grid - Intensification,4
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Anguwan Sarki,BUA,7.583146,10.802259,2712,99,grid - Intensification,4
Kaduna,KD,Sabon Birnin,KD0410,Igabi,19004,Wusono,SSA,7.525628,10.84427,558,21,grid - Intensification,4
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Brinin Yero Tsohuwa,HA,7.544418,10.794801,558,21,grid - Intensification,4
Kaduna,KD,Birnin Yero,KD0402,Igabi,19004,Kanzaure Sarki Kudu,SSA,7.528944,10.783601,186,10,grid - Intensification,4
Kaduna,KD,Afaka,KD0401,Igabi,19004,Assalama Alaikum,BUA,7.400531,10.586158,43847,1316,grid - Intensification,4
Kaduna,KD,Igabi,KD0405,Igabi,19004,Igabi,BUA,7.774941,10.792221,21810,781,grid - Intensification,4
