State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Auchan,KD0501,Ikara,19005,Rugar Sa Adu,HA,8.039552,11.374025,29,6,grid - Intensification,3
Kaduna,KD,Saulawa,KD0509,Ikara,19005,HA_11,HA,8.166403,11.313011,13,5,grid - Intensification,3
Kaduna,KD,Ikara,KD0502,Ikara,19005,Jamaa,SSA,8.20414,11.190044,27,6,grid - Intensification,3
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Gidan Damau,HA,8.125587,11.199085,431,75,grid,3
Kaduna,KD,Jampalan,KD0503,Ikara,19005,Kartau,SSA,8.206288,11.147429,451,18,grid - Intensification,4
Kaduna,KD,Ikara,KD0502,Ikara,19005,Ikara,BUA,8.223652,11.170474,27585,987,grid - Intensification,4
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Tashar Hassan,BUA,8.17981,11.181325,1595,274,grid,4
Kaduna,KD,Jampalan,KD0503,Ikara,19005,Anguwar Talle,HA,8.270973,11.126672,654,114,grid,4
Kaduna,KD,Paki,KD0506,Ikara,19005,Fada,BUA,8.154873,11.500441,9156,329,grid - Intensification,4
Kaduna,KD,Auchan,KD0501,Ikara,19005,Unguwar Malam Idi,BUA,8.00547,11.404586,6794,245,grid - Intensification,4
Kaduna,KD,Jampalan,KD0503,Ikara,19005,Anguwar Madaki,HA,8.277492,11.115391,495,88,grid,4
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Kwankwani,SSA,8.19068,11.176518,312,56,grid,4
Kaduna,KD,Ikara,KD0502,Ikara,19005,Gidan Kwari,SSA,8.247267,11.207871,244,44,grid,4
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Kulun,BUA,8.106149,11.207444,5806,210,grid - Intensification,4
Kaduna,KD,Ikara,KD0502,Ikara,19005,Hambawa,SSA,8.249073,11.206254,360,64,grid,4
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Unguwar Mahauta,BUA,8.100135,11.338976,5853,211,grid - Intensification,4
Kaduna,KD,Rumi,KD0508,Ikara,19005,Unguwar Malam Uba Gardi,BUA,8.034739,11.363586,7863,283,grid - Intensification,4
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Unguwar Chiroma,SSA,8.168848,11.201252,183,35,grid,4
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Jammarmara,SSA,8.070661,11.374608,328,15,grid - Intensification,4
Kaduna,KD,Rumi,KD0508,Ikara,19005,Shadauro,SSA,7.992422,11.45032,594,22,grid - Intensification,4
Kaduna,KD,Ikara,KD0502,Ikara,19005,Unguwan Dutse,HA,8.236296,11.187413,215,11,grid - Intensification,5
Kaduna,KD,Auchan,KD0501,Ikara,19005,Sabon Garin Auchan,BUA,8.018064,11.412449,2381,89,grid - Intensification,5
Kaduna,KD,Ikara,KD0502,Ikara,19005,Kankanki,SSA,8.163617,11.173005,296,14,grid - Intensification,5
Kaduna,KD,Kuya,KD0505,Ikara,19005,Tashar Nabai,HA,8.103456,11.401958,2214,82,grid - Intensification,5
Kaduna,KD,Ikara,KD0502,Ikara,19005,Anguwar Gabas,BUA,8.172626,11.17701,2716,99,grid - Intensification,5
Kaduna,KD,Auchan,KD0501,Ikara,19005,Allah Gaba,BUA,8.028102,11.443077,1980,73,grid - Intensification,5
Kaduna,KD,Jampalan,KD0503,Ikara,19005,Anguwar Turaki,SSA,8.257626,11.164994,303,14,grid - Intensification,5
Kaduna,KD,Saya Saya,KD0510,Ikara,19005,Saya Saya Sarki,BUA,8.364108,11.218264,2668,98,grid - Intensification,5
Kaduna,KD,Rumi,KD0508,Ikara,19005,Wambai,BUA,7.993396,11.367637,6321,229,grid - Intensification,5
Kaduna,KD,Ikara,KD0502,Ikara,19005,Anguwar Mai Alli,SSA,8.213582,11.179332,243,12,grid - Intensification,5
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Gidan Alhaji Yusuf,HA,8.147606,11.191059,428,75,grid,5
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Gidan Kyauro,HA,8.125025,11.345253,973,38,grid - Intensification,5
Kaduna,KD,Ikara,KD0502,Ikara,19005,Anguwar Ajo,HA,8.254987,11.214242,241,12,grid - Intensification,5
Kaduna,KD,Kuya,KD0505,Ikara,19005,Gangarida,SSA,8.080435,11.388605,532,21,grid - Intensification,5
Kaduna,KD,Kurmin Kogi,KD0504,Ikara,19005,Tashan Namama,HA,8.080494,11.21918,369,66,grid,5
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Pampaida Makaranta,HA,8.164438,11.319671,1300,48,grid - Intensification,5
Kaduna,KD,Ikara,KD0502,Ikara,19005,HA_5,HA,8.236617,11.176985,11,5,grid - Intensification,5
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Kwari Gari,SSA,8.12689,11.364236,527,20,grid - Intensification,5
Kaduna,KD,Auchan,KD0501,Ikara,19005,Nasarawa,SSA,8.011343,11.407374,150,9,grid - Intensification,5
Kaduna,KD,Jampalan,KD0503,Ikara,19005,Malikanchi,BUA,8.290522,11.161502,10271,370,grid - Intensification,5
Kaduna,KD,Rumi,KD0508,Ikara,19005,Gidan Daguji,HA,8.015679,11.361052,2833,104,grid - Intensification,5
Kaduna,KD,Rumi,KD0508,Ikara,19005,Kwabe Gangare,HA,7.994045,11.43925,3017,111,grid - Intensification,5
Kaduna,KD,Saulawa,KD0509,Ikara,19005,Rigar Hardo,HA,8.127386,11.330656,1037,40,grid - Intensification,5
