State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Chori,KD0601,Jaba,19006,Jodeph Buzu A,HA,8.067292,9.543644,36,6,grid - Intensification,3
Kaduna,KD,Chori,KD0601,Jaba,19006,Hardo Adamu Shadari,SSA,8.046669,9.52664,26,6,grid - Intensification,3
Kaduna,KD,Dura Bitaro,KD0603,Jaba,19006,Unguwar Amadu,BUA,7.966459,9.485206,5626,204,grid - Intensification,3
Kaduna,KD,Chori,KD0601,Jaba,19006,Musa Danbakuntu,HA,8.053824,9.541616,6999,253,grid - Intensification,3
Kaduna,KD,Dura Bitaro,KD0603,Jaba,19006,Unguwar Tanko,HA,7.968232,9.476341,1920,71,grid - Intensification,3
Kaduna,KD,Nduya,KD0606,Jaba,19006,Unguwan Ribi Masha,SSA,7.972334,9.362776,121,8,grid - Intensification,4
Kaduna,KD,Samban,KD0610,Jaba,19006,Unguwan Sarki Samban Daji,HA,8.016835,9.421699,4892,178,grid - Intensification,4
Kaduna,KD,Nok,KD0607,Jaba,19006,Nok,BUA,8.021,9.489829,8834,318,grid - Intensification,4
Kaduna,KD,Sabchem,KD0608,Jaba,19006,Ungwar Yakubu Madaki A,HA,8.007084,9.437872,13176,473,grid - Intensification,4
Kaduna,KD,Sabchem,KD0608,Jaba,19006,Sabchem,BUA,8.011581,9.451773,7309,263,grid - Intensification,4
Kaduna,KD,Dura Bitaro,KD0603,Jaba,19006,Unguwar Ema,HA,7.988694,9.429942,2329,87,grid - Intensification,4
Kaduna,KD,Chori,KD0601,Jaba,19006,Ismaila Gyemu,HA,8.024013,9.55765,750,130,grid,4
Kaduna,KD,Nduya,KD0606,Jaba,19006,Unguwan Dagaci,HA,7.970178,9.364476,486,19,grid - Intensification,4
Kaduna,KD,Nduya,KD0606,Jaba,19006,Ungwan Chiroma Ayet,HA,7.974974,9.399608,3446,126,grid - Intensification,4
Kaduna,KD,Chori,KD0601,Jaba,19006,Unguwar Inuwa Tafiya,HA,8.043048,9.49818,1830,68,grid - Intensification,4
Kaduna,KD,Daddu,KD0602,Jaba,19006,Unguwar Sarki Unguwar Habila Bage,HA,8.136644,9.553224,499,88,grid,4
Kaduna,KD,Samban,KD0610,Jaba,19006,Unguwar Turaki,BUA,8.030558,9.372192,3564,130,grid - Intensification,5
Kaduna,KD,Fada,KD0604,Jaba,19006,Fada,BUA,8.005163,9.457417,10605,381,grid - Intensification,5
Kaduna,KD,Sabzuro,KD0609,Jaba,19006,Ungwar Zom Kura,BUA,8.007538,9.463842,6701,1141,grid,5
Kaduna,KD,Nok,KD0607,Jaba,19006,Ungwar Mallam Musa,HA,8.020957,9.502987,1015,39,grid - Intensification,5
Kaduna,KD,Samban,KD0610,Jaba,19006,Unguwar Chiroma,BUA,8.052393,9.455258,6367,230,grid - Intensification,5
Kaduna,KD,Nduya,KD0606,Jaba,19006,Unguwan Sabo Sarwa,HA,7.965308,9.383663,1585,60,grid - Intensification,5
