State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,HA_4,HA,8.166232,9.476883,2,5,grid - Intensification,3
Kaduna,KD,Asso,KD0701,Jema'A,19007,HA_13,HA,8.187498,9.412514,44,6,grid - Intensification,3
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,HA_6,HA,8.281363,9.479855,63,7,grid - Intensification,3
Kaduna,KD,Barde,KD0703,Jema'A,19007,HA_20,HA,8.100811,9.360074,50,6,grid - Intensification,3
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Ungwar Christopher/Rugar Sale,HA,8.172515,9.481355,20,5,grid - Intensification,3
Kaduna,KD,Takau,KD0712,Jema'A,19007,Unguwan Yanshi,HA,8.271638,9.568629,940,37,grid - Intensification,3
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Banauje,HA,8.21679,9.39491,1011,39,grid - Intensification,4
Kaduna,KD,Barde,KD0703,Jema'A,19007,Kola,HA,8.098094,9.414092,4872,177,grid - Intensification,4
Kaduna,KD,Barde,KD0703,Jema'A,19007,Fangala,BUA,8.114264,9.355215,2362,88,grid - Intensification,4
Kaduna,KD,Asso,KD0701,Jema'A,19007,Fari,HA,8.193783,9.383822,3097,114,grid - Intensification,4
Kaduna,KD,Kafanchan A,KD0707,Jema'A,19007,Kafanchan A,BUA,8.28969,9.58172,23974,721,grid - Intensification,4
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,Chipto,BUA,8.386204,9.470262,21506,770,grid - Intensification,4
Kaduna,KD,Maigizo,KD0711,Jema'A,19007,Bayan Loko,BUA,8.302195,9.592817,6998,213,grid - Intensification,4
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Kpaih,HA,8.100981,9.472722,6890,249,grid - Intensification,4
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Unguwar Makama,BUA,8.319658,9.509906,3023,111,grid - Intensification,4
Kaduna,KD,Kafanchan B,KD0708,Jema'A,19007,Kafanchan B,BUA,8.296206,9.583603,19161,578,grid - Intensification,4
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,HA_19,HA,8.214672,9.376614,57,6,grid - Intensification,4
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Kagoma,BUA,8.175483,9.50725,7731,279,grid - Intensification,4
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,HA_17,HA,8.30538,9.551652,1337,49,grid - Intensification,4
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,HA_12,HA,8.226141,9.367533,59,13,grid,4
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Fada,BUA,8.233346,9.345526,11789,423,grid - Intensification,5
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Ambam,HA,8.319417,9.52842,1889,70,grid - Intensification,5
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,Dogon Fili,BUA,8.450797,9.45756,2135,79,grid - Intensification,5
Kaduna,KD,Asso,KD0701,Jema'A,19007,Kussom,SSA,8.175432,9.335896,365,16,grid - Intensification,5
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,HA_1,HA,8.139908,9.484206,744,30,grid - Intensification,5
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Unguwan Likita Boka,BUA,8.208539,9.385804,3646,133,grid - Intensification,5
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Ha Gah,HA,8.149289,9.487509,5734,207,grid - Intensification,5
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,Kanufi Ii,HA,8.401431,9.461302,281,49,grid,5
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,Unguwar Sarki,HA,8.470429,9.465565,3634,133,grid - Intensification,5
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Bakin Kogi 2,HA,8.272523,9.490904,2694,99,grid - Intensification,5
Kaduna,KD,Maigizo,KD0711,Jema'A,19007,Aduan 4,HA,8.311606,9.604974,1844,68,grid - Intensification,5
Kaduna,KD,Asso,KD0701,Jema'A,19007,Hakogo,BUA,8.165821,9.433391,3773,137,grid - Intensification,5
Kaduna,KD,Asso,KD0701,Jema'A,19007,HA_14,HA,8.188294,9.421693,326,15,grid - Intensification,5
Kaduna,KD,Maigizo,KD0711,Jema'A,19007,Ungwan Galadima,BUA,8.315593,9.598129,1980,63,grid - Intensification,5
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,Karamin Gada,SSA,8.420834,9.463982,158,30,grid,5
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,HA_11,HA,8.190218,9.521574,100,8,grid - Intensification,5
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Ungwar Bongos,HA,8.153494,9.541392,368,65,grid,5
Kaduna,KD,Atuku,KD0702,Jema'A,19007,Atuka Gada,SSA,8.428234,9.461896,155,29,grid,5
Kaduna,KD,Takau,KD0712,Jema'A,19007,Unguwan Musa,HA,8.302476,9.562351,958,38,grid - Intensification,5
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Unguwan Lamba,HA,8.224613,9.377475,767,133,grid,5
Kaduna,KD,Takau,KD0712,Jema'A,19007,Bala Waje,BUA,8.301959,9.57543,3498,109,grid - Intensification,5
Kaduna,KD,Barde,KD0703,Jema'A,19007,Khibom,HA,8.107582,9.398403,4111,150,grid - Intensification,5
Kaduna,KD,Maigizo,KD0711,Jema'A,19007,Zibin,HA,8.313523,9.57402,608,23,grid - Intensification,5
Kaduna,KD,Barde,KD0703,Jema'A,19007,Faifum,HA,8.03219,9.332057,825,34,grid - Intensification,5
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Unguwar Alkali,SSA,8.292135,9.541379,94,8,grid - Intensification,5
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,HA_3,HA,8.162401,9.486362,471,19,grid - Intensification,5
Kaduna,KD,Maigizo,KD0711,Jema'A,19007,Ungwan Maigizo,BUA,8.328481,9.591825,269,11,grid - Intensification,5
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Kaura,SSA,8.289898,9.539367,240,12,grid - Intensification,5
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Delle,HA,8.224851,9.40584,1295,48,grid - Intensification,5
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Three Quarters,HA,8.231376,9.355602,521,20,grid - Intensification,5
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Ungwar Bulus,HA,8.309625,9.545543,172,10,grid - Intensification,6
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Shock,HA,8.276497,9.517157,309,14,grid - Intensification,6
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Unguwan Bebe,HA,8.227075,9.361975,159,31,grid,6
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Unguwan Moroa,HA,8.215516,9.357171,1285,221,grid,6
Kaduna,KD,Barde,KD0703,Jema'A,19007,Unguwan Sangom,BUA,8.044922,9.345452,1136,196,grid,6
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,HA_8,HA,8.184299,9.512473,128,9,grid - Intensification,6
Kaduna,KD,Takau,KD0712,Jema'A,19007,Unguwan Ladan,HA,8.267475,9.562038,329,15,grid - Intensification,6
Kaduna,KD,Takau,KD0712,Jema'A,19007,Unguwan Zamani,HA,8.257416,9.564089,1432,246,grid,6
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Unguwar Makama,HA,8.274586,9.560972,5781,209,grid - Intensification,6
Kaduna,KD,Kaninkon,KD0710,Jema'A,19007,Hayin Gada,HA,8.376908,9.463525,749,30,grid - Intensification,6
Kaduna,KD,Gidan Waya,KD0704,Jema'A,19007,HA_4,HA,8.381436,9.453423,6,6,grid,6
Kaduna,KD,Godogodo,KD0705,Jema'A,19007,Sabon Garin Kibam,HA,8.367908,9.431249,194,37,grid,6
Kaduna,KD,Godogodo,KD0705,Jema'A,19007,HA_12,HA,8.360692,9.422155,164,32,grid,6
Kaduna,KD,Godogodo,KD0705,Jema'A,19007,Unguwar Gwamma Godogodo,BUA,8.354731,9.431613,10211,1738,grid,6
Kaduna,KD,Godogodo,KD0705,Jema'A,19007,Unguwar Makera Fulani,HA,8.346274,9.431077,195,37,grid,6
Kaduna,KD,Godogodo,KD0705,Jema'A,19007,Arusuwa,HA,8.340122,9.434958,4191,715,grid,6
Kaduna,KD,Kagoma,KD0709,Jema'A,19007,Ungwar Ahmadu,HA,8.170633,9.493927,701,27,grid - Intensification,6
Kaduna,KD,Barde,KD0703,Jema'A,19007,Kirezop,HA,8.025514,9.340326,336,15,grid - Intensification,6
Kaduna,KD,Asso,KD0701,Jema'A,19007,HA_6,HA,8.159166,9.433262,208,11,grid - Intensification,6
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,HA_18,HA,8.231402,9.404654,56,6,grid - Intensification,6
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Ardo Mato,HA,8.246938,9.416425,2525,432,grid,6
Kaduna,KD,Barde,KD0703,Jema'A,19007,Kinsako,BUA,8.031568,9.314268,1024,40,grid - Intensification,6
Kaduna,KD,Atuku,KD0702,Jema'A,19007,Atuku,HA,8.48143,9.487575,1133,195,grid,6
Kaduna,KD,Jagindi,KD0706,Jema'A,19007,Mile One,HA,8.239972,9.357886,817,141,grid,6
