State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Agunu,KD0801,Kachia,19008,HA_32,HA,7.944081,10.077138,4,5,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,HA_113,HA,7.402636,9.977889,53,6,grid - Intensification,3
Kaduna,KD,Gumel,KD0807,Kachia,19008,HA_11,HA,7.955887,9.795556,27,6,grid - Intensification,3
Kaduna,KD,Sabon Sarki,KD0812,Kachia,19008,HA_3,HA,8.005686,9.62476,18,5,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,HA_37,HA,7.471352,9.813629,41,6,grid - Intensification,3
Kaduna,KD,Kwaturu,KD0811,Kachia,19008,HA_3,HA,7.941551,9.678787,28,6,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,HA_54,HA,7.441637,9.870936,18,5,grid - Intensification,3
Kaduna,KD,Agunu,KD0801,Kachia,19008,HA_29,HA,8.003791,10.044357,17,5,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,HA_118,HA,7.430955,9.98685,55,6,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,Sabo Maro Ta Yamma,HA,7.397012,10.018713,2465,91,grid - Intensification,3
Kaduna,KD,Kachia,KD0808,Kachia,19008,Kachia,BUA,7.954545,9.875208,33206,1188,grid - Intensification,3
Kaduna,KD,Dokwa,KD0805,Kachia,19008,Gidan Busa,BUA,7.449324,9.782672,2494,427,grid,4
Kaduna,KD,Kachia,KD0808,Kachia,19008,Ungwar Ate Shanu,HA,7.951691,9.902138,4431,161,grid - Intensification,4
Kaduna,KD,Agunu,KD0801,Kachia,19008,Unguwan Madaki,HA,7.992031,10.041804,441,18,grid - Intensification,4
Kaduna,KD,Dokwa,KD0805,Kachia,19008,Akilibu,BUA,7.455443,9.84952,6235,1062,grid,4
