State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Aribi,KD1101,Kagarko,19011,HA_12,HA,7.917236,9.595405,47,6,grid - Intensification,3
Kaduna,KD,Jere North,KD1103,Kagarko,19011,HA_15,HA,7.470883,9.537315,57,6,grid - Intensification,3
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,HA_39,HA,7.672197,9.54458,34,6,grid - Intensification,3
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Rugar Shehu,HA,7.58052,9.503129,33,6,grid - Intensification,3
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Rugar Mallam Dabo,HA,7.352615,9.47074,79,7,grid - Intensification,3
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Rugar Alh. Ardo Banyi,SSA,7.327916,9.389271,74,7,grid - Intensification,3
Kaduna,KD,Aribi,KD1101,Kagarko,19011,HA_2,HA,7.843769,9.537533,59,7,grid - Intensification,3
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Janruwa,HA,7.677697,9.557943,33,6,grid - Intensification,3
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Katugal,BUA,7.811548,9.444045,12452,447,grid - Intensification,4
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Kongo,HA,7.921768,9.533458,4225,154,grid - Intensification,4
Kaduna,KD,Kukuyi,KD1108,Kagarko,19011,Ungwar Sarkin Kukui,HA,7.826533,9.376278,2322,86,grid - Intensification,4
Kaduna,KD,Kurmin Jibrin,KD1109,Kagarko,19011,Unguwar Madaki,HA,7.897058,9.404764,2172,80,grid - Intensification,4
Kaduna,KD,Katugal,KD1107,Kagarko,19011,HA_5,HA,7.81863,9.426025,187,10,grid - Intensification,4
Kaduna,KD,Jere South,KD1104,Kagarko,19011,Pankere,BUA,7.434281,9.569785,11073,398,grid - Intensification,4
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Iddah,BUA,7.261929,9.332543,16643,597,grid - Intensification,4
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Sabon Iche B,HA,7.571083,9.519451,2177,373,grid,4
Kaduna,KD,Kushe,KD1110,Kagarko,19011,Unguwan Jakada,HA,7.790962,9.452069,494,87,grid,4
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Unguwar Pah Aribi,HA,7.84831,9.523625,1882,69,grid - Intensification,4
Kaduna,KD,Kagarko North,KD1105,Kagarko,19011,Unguwar Makera,HA,7.722439,9.50276,3212,118,grid - Intensification,4
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Ungwan Galadima,HA,7.816379,9.430979,540,21,grid - Intensification,4
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Ungwan Rilwanu,BUA,7.295394,9.371108,3569,130,grid - Intensification,4
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Unguwar Kurmi,BUA,7.697169,9.491907,9811,353,grid - Intensification,4
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Ungwan Sarki,HA,7.879029,9.461065,3318,121,grid - Intensification,4
Kaduna,KD,Katugal,KD1107,Kagarko,19011,HA_2,HA,7.847534,9.463462,97,8,grid - Intensification,4
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Kushamfa Ungwan Sarki,HA,7.906576,9.471327,1779,66,grid - Intensification,5
Kaduna,KD,Kagarko North,KD1105,Kagarko,19011,Unguwar Rimi,BUA,7.699441,9.492073,4736,172,grid - Intensification,5
Kaduna,KD,Katugal,KD1107,Kagarko,19011,HA_1,HA,7.797879,9.446494,118,8,grid - Intensification,5
Kaduna,KD,Jere South,KD1104,Kagarko,19011,Jere Junction,HA,7.423199,9.566136,3659,133,grid - Intensification,5
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Babu Hanya,HA,7.357713,9.461443,1793,67,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Unguwar Daudu,HA,7.635149,9.499725,608,106,grid,5
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Mararaba Aribi,HA,7.847369,9.459195,179,10,grid - Intensification,5
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Idetura B,HA,7.86455,9.454431,636,24,grid - Intensification,5
Kaduna,KD,Jere South,KD1104,Kagarko,19011,Ungwar Jibo,HA,7.445756,9.600995,2713,99,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Tudun Wada Kagarko,HA,7.681427,9.493265,3036,111,grid - Intensification,5
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Gidan Ballo,HA,7.346559,9.449682,697,27,grid - Intensification,5
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Unguwar Waje,BUA,7.845862,9.526602,3749,137,grid - Intensification,5
Kaduna,KD,Kurmin Jibrin,KD1109,Kagarko,19011,Unguwar Atiyayei,HA,7.934994,9.467155,2499,92,grid - Intensification,5
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Rugar Sai,HA,7.823991,9.442257,741,30,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Gwaje,SSA,7.649055,9.493302,111,20,grid,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Gwaje,HA,7.647931,9.493217,418,73,grid,5
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Gbakura,HA,7.275643,9.35155,1421,53,grid - Intensification,5
Kaduna,KD,Kurmin Jibrin,KD1109,Kagarko,19011,Rugar Umoru (Sabon Gida),HA,7.908447,9.394647,965,38,grid - Intensification,5
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Gwaba,HA,7.320245,9.399273,1237,46,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Kurmi Uwa,HA,7.689062,9.527552,92,18,grid,5
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Issah Hanya,HA,7.394799,9.4938,1566,60,grid - Intensification,5
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Gyara Wando,HA,7.37515,9.472086,2609,95,grid - Intensification,5
Kaduna,KD,Jere South,KD1104,Kagarko,19011,Kwasere,HA,7.382338,9.52147,2037,75,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Janjala,HA,7.680155,9.54754,1633,62,grid - Intensification,5
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Unguwar Madaki,HA,7.919238,9.54427,4421,160,grid - Intensification,5
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Rugar Alhaji Ibrahim,HA,7.699511,9.512257,592,103,grid,5
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Unguwar Karofi,BUA,7.438209,9.571265,8417,303,grid - Intensification,5
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Ungwan Iddah,BUA,7.35078,9.420096,7294,263,grid - Intensification,5
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Unguwar Ayuba,HA,7.503087,9.53436,2346,87,grid - Intensification,6
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Unguwan Tanko Kaura Sabo Chama,BUA,7.332187,9.42594,5247,190,grid - Intensification,6
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Daba,HA,7.323012,9.425199,981,169,grid,6
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Chama,HA,7.312385,9.432226,1810,310,grid,6
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Maganda,SSA,7.728213,9.47088,74,15,grid,6
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Rugar Nanaye,HA,7.881411,9.447052,26,8,grid,6
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Ungwan Barnaba,HA,7.888643,9.435681,2549,436,grid,6
Kaduna,KD,Kushe,KD1110,Kagarko,19011,SSA_15,SSA,7.783509,9.453519,170,10,grid - Intensification,6
Kaduna,KD,Kushe,KD1110,Kagarko,19011,HA_11,HA,7.776107,9.452995,57,6,grid - Intensification,6
Kaduna,KD,Iddah,KD1102,Kagarko,19011,HA_38,HA,7.365294,9.436104,2261,84,grid - Intensification,6
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Sabon Gari Tahar,HA,7.930783,9.549866,2259,84,grid - Intensification,6
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Gantan Gida,HA,7.940547,9.635345,1203,207,grid,6
Kaduna,KD,Jere South,KD1104,Kagarko,19011,HA_6,HA,7.414262,9.537157,246,12,grid - Intensification,6
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Rugar Alhaji Shadi,HA,7.878928,9.430571,633,110,grid,6
Kaduna,KD,Iddah,KD1102,Kagarko,19011,HA_26,HA,7.333445,9.42122,1055,40,grid - Intensification,6
Kaduna,KD,Jere North,KD1103,Kagarko,19011,HA_20,HA,7.481268,9.544532,231,12,grid - Intensification,7
Kaduna,KD,Kushe,KD1110,Kagarko,19011,Unguwan Magaji,BUA,7.773133,9.442479,7000,253,grid - Intensification,7
Kaduna,KD,Kagarko South,KD1106,Kagarko,19011,Rugar Abdullahi,HA,7.590972,9.518765,91,18,grid,7
Kaduna,KD,Iddah,KD1102,Kagarko,19011,SSA_63,SSA,7.361187,9.417244,125,9,grid - Intensification,7
Kaduna,KD,Iddah,KD1102,Kagarko,19011,Pakau,HA,7.362098,9.399145,1104,190,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Jere Junction,HA,7.425069,9.561218,946,37,grid - Intensification,7
Kaduna,KD,Katugal,KD1107,Kagarko,19011,Ungwan Alura,HA,7.910643,9.438825,869,151,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,HA_1,HA,7.411318,9.483859,92,18,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Issah Kupayi,HA,7.402497,9.48009,1106,190,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Rugar Alhaji Idi,HA,7.40625,9.472876,306,55,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Issah Gbolo,HA,7.415167,9.465642,125,22,grid,7
Kaduna,KD,Jere North,KD1103,Kagarko,19011,Dope,HA,7.411486,9.454311,1739,298,grid,7
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Unguwar Galadimah,SSA,7.907401,9.59253,473,19,grid - Intensification,7
Kaduna,KD,Aribi,KD1101,Kagarko,19011,HA_6,HA,7.918581,9.606708,35,10,grid,7
Kaduna,KD,Aribi,KD1101,Kagarko,19011,HA_8,HA,7.9057,9.620377,308,55,grid,7
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Ruzai,HA,7.900743,9.615659,1290,222,grid,7
Kaduna,KD,Aribi,KD1101,Kagarko,19011,Kurmin Bango,HA,7.901408,9.635718,1062,183,grid,7
