State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Rugan Bello,HA,7.760468,10.277426,42,6,grid - Intensification,3
Kaduna,KD,Afogo,KD1201,Kajuru,19012,Rugan Amadu,HA,7.877342,10.256407,41,6,grid - Intensification,3
Kaduna,KD,Idon,KD1203,Kajuru,19012,Boundary,HA,7.89309,10.075582,23,5,grid - Intensification,3
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Unguwan Dogon Yaro,BUA,7.712144,10.330217,8729,315,grid - Intensification,4
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Kasuwan Magani,BUA,7.715496,10.400685,19941,714,grid - Intensification,4
Kaduna,KD,Kajuru,KD1204,Kajuru,19012,Gyengere,HA,7.655481,10.307298,506,20,grid - Intensification,4
Kaduna,KD,Kajuru,KD1204,Kajuru,19012,Unguwan Daki,BUA,7.685691,10.318564,4660,169,grid - Intensification,4
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Unguwan Day,HA,7.765459,10.285871,2547,93,grid - Intensification,4
Kaduna,KD,Idon,KD1203,Kajuru,19012,Elapam,HA,7.905822,10.115161,7080,256,grid - Intensification,4
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Ibegorah,HA,7.777889,10.289374,1693,64,grid - Intensification,5
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Unguwan Apapah,HA,7.715488,10.364815,1809,67,grid - Intensification,5
Kaduna,KD,Rimau,KD1209,Kajuru,19012,Rimau,BUA,7.761141,10.409448,2835,104,grid - Intensification,5
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Apenesi,HA,7.756551,10.294354,1017,39,grid - Intensification,5
Kaduna,KD,Afogo,KD1201,Kajuru,19012,Odoro,HA,7.84387,10.262172,483,85,grid,5
Kaduna,KD,Idon,KD1203,Kajuru,19012,Makyali,HA,7.915489,10.184612,2393,89,grid - Intensification,5
Kaduna,KD,Afogo,KD1201,Kajuru,19012,Kurmi,HA,7.86319,10.255848,1035,40,grid - Intensification,5
Kaduna,KD,Rimau,KD1209,Kajuru,19012,Rugan Ardo Bello,HA,7.739629,10.411238,689,120,grid,6
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Unguwan Rana,HA,7.746691,10.299543,2495,92,grid - Intensification,6
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Sabon Gari,HA,7.798989,10.298487,2243,83,grid - Intensification,6
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Rimau City,HA,7.725598,10.399556,530,21,grid - Intensification,6
Kaduna,KD,Afogo,KD1201,Kajuru,19012,Ibirah,HA,7.874762,10.243016,342,15,grid - Intensification,6
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Apenesi 2,SSA,7.754836,10.294784,154,9,grid - Intensification,6
Kaduna,KD,Kallah,KD1205,Kajuru,19012,Sabon Gari Kalla,BUA,7.803585,10.422179,7839,282,grid - Intensification,6
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Dogon Awo,HA,7.713202,10.346926,527,20,grid - Intensification,6
Kaduna,KD,Idon,KD1203,Kajuru,19012,Sabon Gida Gabas,SSA,7.907792,10.151703,184,10,grid - Intensification,7
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Unguwan Sayi,HA,7.715494,10.383332,169,10,grid - Intensification,7
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Unguwan Mangoro 2,SSA,7.75836,10.287275,229,12,grid - Intensification,7
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Rafin Kunu,HA,7.740329,10.271837,1606,276,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,HA_13,HA,7.649749,10.280755,73,15,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,HA_5,HA,7.644664,10.280751,59,13,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,Ruggar Malam Yelwa,HA,7.644932,10.270326,137,24,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,Aguba,HA,7.636871,10.272647,388,68,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,Hayin Makaranta,HA,7.626812,10.262453,728,126,grid,7
Kaduna,KD,Tantattu,KD1210,Kajuru,19012,Afurukuru,HA,7.620809,10.25809,3411,582,grid,7
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Sabon Garin Kufana,SSA,7.752372,10.297159,263,13,grid - Intensification,7
Kaduna,KD,Buda,KD1202,Kajuru,19012,Unguwan Aboh,HA,7.656685,10.350237,361,16,grid - Intensification,7
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Gurgu,HA,7.730298,10.378511,703,122,grid,7
Kaduna,KD,Afogo,KD1201,Kajuru,19012,Unguwan Joseph,HA,7.809243,10.297872,1123,42,grid - Intensification,7
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Kadanya,HA,7.682716,10.409398,64,14,grid,7
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Apelifor,HA,7.748999,10.303922,837,34,grid - Intensification,7
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Unguwan Fada,HA,7.710298,10.408704,1464,55,grid - Intensification,8
Kaduna,KD,Rimau,KD1209,Kajuru,19012,Akusha,HA,7.709684,10.416403,1267,218,grid,8
Kaduna,KD,Kufana,KD1207,Kajuru,19012,SSA_1,SSA,7.75098,10.298853,102,8,grid - Intensification,8
Kaduna,KD,Kufana,KD1207,Kajuru,19012,Unguwan Mangoro 1,SSA,7.758695,10.290049,188,10,grid - Intensification,8
Kaduna,KD,Kasuwan Magani,KD1206,Kajuru,19012,Gurgu 2,HA,7.736666,10.394122,335,61,grid,8
