State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Malagum,KD1308,Kaura,19013,HA_1,HA,8.390593,9.707883,42,11,grid,3
Kaduna,KD,Kaura,KD1305,Kaura,19013,Unguwan Yakubu Zamani,HA,8.455376,9.668139,8536,307,grid - Intensification,4
Kaduna,KD,Fada,KD1303,Kaura,19013,Unguwar Didam,BUA,8.389588,9.610092,11982,363,grid - Intensification,4
Kaduna,KD,Zankan,KD1310,Kaura,19013,Unguwar Bulus Bwanhuat,HA,8.551239,9.658708,3561,130,grid - Intensification,4
Kaduna,KD,Kukum,KD1307,Kaura,19013,Kukum,BUA,8.387537,9.604092,2191,70,grid - Intensification,4
Kaduna,KD,Kpak,KD1306,Kaura,19013,U/Tukum,HA,8.415004,9.627753,472,19,grid - Intensification,4
Kaduna,KD,Agban,KD1301,Kaura,19013,Unguwar Mungwab,HA,8.380793,9.591222,8524,307,grid - Intensification,4
Kaduna,KD,Kpak,KD1306,Kaura,19013,Unguwar Uzah Alau Anet,HA,8.421215,9.634566,4640,168,grid - Intensification,4
Kaduna,KD,Agban,KD1301,Kaura,19013,Ungwan Duwai Kaboshoi,HA,8.342889,9.587933,1862,69,grid - Intensification,5
Kaduna,KD,Manchok,KD1309,Kaura,19013,Ungwan Gambo Tibishi,BUA,8.512384,9.670656,6315,229,grid - Intensification,5
Kaduna,KD,Kadarko,KD1304,Kaura,19013,Unguwar Adamu Zatiok,HA,8.446777,9.662803,1086,41,grid - Intensification,5
Kaduna,KD,Kpak,KD1306,Kaura,19013,Kpak,BUA,8.402904,9.612256,5954,183,grid - Intensification,5
Kaduna,KD,Agban,KD1301,Kaura,19013,Ungwan Makaranta,BUA,8.329376,9.59822,1352,44,grid - Intensification,5
Kaduna,KD,Malagum,KD1308,Kaura,19013,Unguwan Yusuf Jankarau,HA,8.382477,9.697905,99,19,grid,5
Kaduna,KD,Malagum,KD1308,Kaura,19013,Unguwan Mugu Tellah,HA,8.374002,9.701804,4395,749,grid,5
Kaduna,KD,Bondong,KD1302,Kaura,19013,Unguwan Joseph Takaici,HA,8.526099,9.696153,2423,90,grid - Intensification,5
Kaduna,KD,Malagum,KD1308,Kaura,19013,Monday Tachio,HA,8.393116,9.634337,340,15,grid - Intensification,5
Kaduna,KD,Bondong,KD1302,Kaura,19013,Ungwar Kambai Adamu,HA,8.556659,9.707163,5132,186,grid - Intensification,6
Kaduna,KD,Manchok,KD1309,Kaura,19013,Rugan Bayero Gene,HA,8.492457,9.709568,507,89,grid,6
Kaduna,KD,Manchok,KD1309,Kaura,19013,Ungwan Gambo Juri,HA,8.501222,9.705998,3560,608,grid,6
Kaduna,KD,Kadarko,KD1304,Kaura,19013,Unguwar Vincent Bature,HA,8.447485,9.632977,6576,237,grid - Intensification,6
Kaduna,KD,Kpak,KD1306,Kaura,19013,Unguwar Peter,HA,8.400192,9.624569,1576,60,grid - Intensification,7
