State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Makami,KD1410,Kauru,19014,HA_31,HA,7.990082,10.675381,27,6,grid - Intensification,3
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Kiwallo Kadage,HA,8.194963,10.422174,420,73,grid,3
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Kagadama,HA,8.187347,10.410814,297,53,grid,4
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Kware,BUA,8.191606,10.451157,6412,232,grid - Intensification,4
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Jarmai,BUA,8.066302,10.680365,15492,556,grid - Intensification,4
Kaduna,KD,Makami,KD1410,Kauru,19014,Kwanar Rufai,HA,8.075504,10.684213,2294,85,grid - Intensification,4
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Dansura,BUA,7.990962,10.685273,4937,179,grid - Intensification,4
Kaduna,KD,Kauru West,KD1408,Kauru,19014,Danmekogi,HA,8.136704,10.495073,1843,316,grid,4
Kaduna,KD,Kwassam,KD1409,Kauru,19014,Katandama,BUA,8.245862,10.343762,8613,310,grid - Intensification,4
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Unguwar Mumini,HA,8.164528,10.471339,488,86,grid,4
Kaduna,KD,Kwassam,KD1409,Kauru,19014,Tudun Wadan Garmadi,HA,8.263928,10.465323,904,156,grid,4
Kaduna,KD,Kwassam,KD1409,Kauru,19014,Asham,HA,8.240329,10.458825,46,11,grid,4
Kaduna,KD,Kwassam,KD1409,Kauru,19014,Unguwan Tsakiya,HA,8.187266,10.367873,955,165,grid,4
Kaduna,KD,Makami,KD1410,Kauru,19014,HA_33,HA,8.058128,10.680374,400,17,grid - Intensification,4
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Giwa,SSA,8.049502,10.67505,263,46,grid,4
Kaduna,KD,Damakasuwa,KD1403,Kauru,19014,Unguwan Zakari,HA,8.597798,9.951589,5168,187,grid - Intensification,4
Kaduna,KD,Makami,KD1410,Kauru,19014,Kauran Dole,SSA,8.007234,10.676748,140,25,grid,4
Kaduna,KD,Damakasuwa,KD1403,Kauru,19014,Unguwan Jacob,HA,8.535721,9.966217,7550,272,grid - Intensification,4
Kaduna,KD,Badurum,KD1401,Kauru,19014,Kikuraini,HA,8.511073,9.920145,644,112,grid,5
Kaduna,KD,Kauru East,KD1407,Kauru,19014,Unguwan Fada Kahuta,HA,8.239044,10.639247,2306,86,grid - Intensification,5
Kaduna,KD,Kauru West,KD1408,Kauru,19014,Marbaki,BUA,8.147256,10.576284,15652,561,grid - Intensification,5
Kaduna,KD,Kwassam,KD1409,Kauru,19014,Unguwan Rimi,HA,8.198407,10.35775,182,35,grid,5
Kaduna,KD,Kauru West,KD1408,Kauru,19014,Unguwar Ganye,BUA,8.124204,10.533566,3398,124,grid - Intensification,5
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Gali,BUA,8.021015,10.66828,2564,94,grid - Intensification,5
Kaduna,KD,Kauru West,KD1408,Kauru,19014,Jabarka B,HA,8.160854,10.57877,2985,109,grid - Intensification,5
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Sabon Garim Samaru,SSA,8.181689,10.378013,262,46,grid,5
Kaduna,KD,Dawaki,KD1404,Kauru,19014,Kakude A,SSA,8.181906,10.380081,153,29,grid,5
Kaduna,KD,Kauru East,KD1407,Kauru,19014,Yadi,BUA,8.193529,10.597163,2392,89,grid - Intensification,5
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Murtala,SSA,8.041816,10.652019,421,17,grid - Intensification,5
Kaduna,KD,Makami,KD1410,Kauru,19014,Unguwan Haruna,HA,7.996925,10.681805,1211,45,grid - Intensification,5
Kaduna,KD,Damakasuwa,KD1403,Kauru,19014,Kigonkor,HA,8.587696,9.957889,569,99,grid,5
Kaduna,KD,Kauru East,KD1407,Kauru,19014,Unguwan Tsauni Kauran Dawa,HA,8.230686,10.623046,940,162,grid,5
