State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Kareh,KD1505,Kuban,19015,HA_2,HA,8.346013,10.674604,41,6,grid - Intensification,3
Kaduna,KD,Kubau,KD1507,Kuban,19015,Unguwar Mallam Mamman,SSA,8.137309,10.794051,104,8,grid - Intensification,3
Kaduna,KD,Mah,KD1508,Kuban,19015,Rugar Baushe,HA,8.339413,10.98321,88,7,grid - Intensification,3
Kaduna,KD,Damau,KD1502,Kuban,19015,Kajirgo A,HA,8.423331,10.921634,882,153,grid,3
Kaduna,KD,Zabi,KD1510,Kuban,19015,Zabi,BUA,8.145388,10.69384,5649,962,grid,3
Kaduna,KD,Kargi,KD1506,Kuban,19015,Dangachi,SSA,8.298812,11.08211,306,55,grid,3
Kaduna,KD,Mah,KD1508,Kuban,19015,Karaba,BUA,8.286173,11.052555,5483,199,grid - Intensification,4
Kaduna,KD,Zabi,KD1510,Kuban,19015,Layin Gobirawa,SSA,8.154857,10.758717,428,75,grid,4
Kaduna,KD,Pambegua,KD1509,Kuban,19015,Pambegua,BUA,8.274379,10.682102,49063,1754,grid - Intensification,4
Kaduna,KD,Zuntu,KD1511,Kuban,19015,Dangero,HA,8.262391,10.707667,307,55,grid,4
Kaduna,KD,Dutsen Wai,KD1503,Kuban,19015,Unguwar Rakatse,BUA,8.201717,10.852911,24233,867,grid - Intensification,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,Makwalla,BUA,8.412717,10.998989,4454,760,grid,4
Kaduna,KD,Kargi,KD1506,Kuban,19015,Shararriya,HA,8.316014,11.057894,1467,252,grid,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,Tudun Wada,BUA,8.359968,10.936386,2060,76,grid - Intensification,4
Kaduna,KD,Haskiya,KD1504,Kuban,19015,Kurfi,HA,8.428055,11.017571,405,71,grid,4
Kaduna,KD,Kargi,KD1506,Kuban,19015,Kargi,BUA,8.335927,11.022634,12591,452,grid - Intensification,4
Kaduna,KD,Pambegua,KD1509,Kuban,19015,Unguwar Goje,HA,8.271901,10.694129,438,18,grid - Intensification,4
Kaduna,KD,Mah,KD1508,Kuban,19015,Tudun Wada,SSA,8.271384,11.059385,453,80,grid,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,Madabbo,BUA,8.380644,10.96281,18037,646,grid - Intensification,4
Kaduna,KD,Kubau,KD1507,Kuban,19015,Kubau,BUA,8.159525,10.799315,20440,732,grid - Intensification,4
Kaduna,KD,Mah,KD1508,Kuban,19015,Bakin Kasuwa A,SSA,8.291514,11.048598,486,19,grid - Intensification,4
Kaduna,KD,Damau,KD1502,Kuban,19015,Damau Tasha,BUA,8.433106,10.898649,5907,213,grid - Intensification,4
Kaduna,KD,Zabi,KD1510,Kuban,19015,Shinkafi,SSA,8.100861,10.687464,340,15,grid - Intensification,4
Kaduna,KD,Kargi,KD1506,Kuban,19015,Tashar Adamu,SSA,8.290711,11.097378,151,28,grid,4
Kaduna,KD,Zabi,KD1510,Kuban,19015,Nagunda Unguwar Sadi,SSA,8.116792,10.687527,475,84,grid,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,HA_42,HA,8.370002,10.968742,555,21,grid - Intensification,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,Gobirawa,BUA,8.397155,10.963386,14394,517,grid - Intensification,4
Kaduna,KD,Zabi,KD1510,Kuban,19015,Nagunda Unguwar Yahuza,SSA,8.117752,10.686772,245,44,grid,4
Kaduna,KD,Anchau,KD1501,Kuban,19015,Jenau Gidan Sarki,BUA,8.323501,10.897285,1807,67,grid - Intensification,4
Kaduna,KD,Mah,KD1508,Kuban,19015,Bagwiwa B,SSA,8.251247,11.06134,279,49,grid,5
Kaduna,KD,Kareh,KD1505,Kuban,19015,Unguwar Mato,SSA,8.373641,10.726219,357,64,grid,5
Kaduna,KD,Kareh,KD1505,Kuban,19015,Jidda,SSA,8.363374,10.687367,225,41,grid,5
Kaduna,KD,Anchau,KD1501,Kuban,19015,Jenau Sabon Gari,SSA,8.321429,10.903177,261,13,grid - Intensification,5
Kaduna,KD,Kargi,KD1506,Kuban,19015,Gidan Ali,SSA,8.356924,11.001691,201,38,grid,5
Kaduna,KD,Kareh,KD1505,Kuban,19015,Layin Ibo,SSA,8.371358,10.739103,427,18,grid - Intensification,5
Kaduna,KD,Haskiya,KD1504,Kuban,19015,Unguwar Sarki Haskiya,SSA,8.456043,11.02414,295,14,grid - Intensification,5
Kaduna,KD,Mah,KD1508,Kuban,19015,Dokan Tagwai,BUA,8.287923,11.076607,4714,803,grid,5
Kaduna,KD,Anchau,KD1501,Kuban,19015,Nasarawa Anchau,SSA,8.361757,10.996314,174,34,grid,5
Kaduna,KD,Zuntu,KD1511,Kuban,19015,Dankande West,SSA,8.218113,10.785424,352,15,grid - Intensification,5
Kaduna,KD,Mah,KD1508,Kuban,19015,Rugar Juli,HA,8.347627,10.997245,302,14,grid - Intensification,5
Kaduna,KD,Zabi,KD1510,Kuban,19015,Unguwar Mallam Chindo,SSA,8.152942,10.728161,143,9,grid - Intensification,5
Kaduna,KD,Kareh,KD1505,Kuban,19015,Kankare Yusuf,HA,8.336725,10.681223,1491,57,grid - Intensification,5
Kaduna,KD,Zabi,KD1510,Kuban,19015,Unguwar Dangogo Aminu,SSA,8.151678,10.736171,484,19,grid - Intensification,5
Kaduna,KD,Anchau,KD1501,Kuban,19015,Gidan Maibindiga,HA,8.419242,10.928487,106,20,grid,5
Kaduna,KD,Haskiya,KD1504,Kuban,19015,Unguwar Alhaji Yau,BUA,8.430533,11.031625,3988,680,grid,5
Kaduna,KD,Mah,KD1508,Kuban,19015,Rikochi A,SSA,8.335189,10.994795,397,17,grid - Intensification,5
Kaduna,KD,Haskiya,KD1504,Kuban,19015,Mabuga Unguwar,BUA,8.43284,10.945137,2788,102,grid - Intensification,5
Kaduna,KD,Mah,KD1508,Kuban,19015,Dasa Ganji A,SSA,8.300973,11.053376,245,44,grid,5
Kaduna,KD,Pambegua,KD1509,Kuban,19015,Kamfani,HA,8.298996,10.678033,177,34,grid,5
Kaduna,KD,Zuntu,KD1511,Kuban,19015,Anguwar Hamisu,BUA,8.235236,10.738478,13624,489,grid - Intensification,5
Kaduna,KD,Pambegua,KD1509,Kuban,19015,Unguwar Barde,SSA,8.244669,10.679143,184,35,grid,5
Kaduna,KD,Kareh,KD1505,Kuban,19015,Unguwan Mato Church,SSA,8.37319,10.728036,374,16,grid - Intensification,5
Kaduna,KD,Pambegua,KD1509,Kuban,19015,Unguwar Mai Gyada,SSA,8.262319,10.657836,149,28,grid,5
