State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Likoro,KD1607,Kudan,19016,HA_1,HA,7.788863,11.194186,5,5,grid - Intensification,3
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,HA_3,HA,7.700014,11.244616,31,6,grid - Intensification,3
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,HA_7,HA,7.639921,11.24166,59,7,grid - Intensification,3
Kaduna,KD,Zabi,KD1610,Kudan,19016,HA_5,HA,7.712274,11.312789,107,8,grid - Intensification,3
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Unguwar Alhazawa,SSA,7.65772,11.236416,202,11,grid - Intensification,3
Kaduna,KD,Likoro,KD1607,Kudan,19016,Likoro,BUA,7.797193,11.201731,12576,452,grid - Intensification,4
Kaduna,KD,Kauran Wali South,KD1605,Kudan,19016,Tudun Tsakuwa,HA,7.842636,11.293882,422,74,grid,4
Kaduna,KD,Kudan,KD1606,Kudan,19016,Kudan,BUA,7.729281,11.307353,20150,722,grid - Intensification,4
Kaduna,KD,Zabi,KD1610,Kudan,19016,Anguwar Kadaga,BUA,7.720633,11.303877,2468,91,grid - Intensification,4
Kaduna,KD,Taba,KD1609,Kudan,19016,Gidan Garba,SSA,7.767568,11.277614,283,13,grid - Intensification,4
Kaduna,KD,Taba,KD1609,Kudan,19016,Hawan Mai Mashi,HA,7.810155,11.237987,432,76,grid,4
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Unguwar Galadima,HA,7.683602,11.233201,901,36,grid - Intensification,5
Kaduna,KD,Doka,KD1601,Kudan,19016,Dan Magani,BUA,7.790495,11.358171,905,36,grid - Intensification,5
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Unguwar Fulani,HA,7.656041,11.235691,1063,41,grid - Intensification,5
Kaduna,KD,Taba,KD1609,Kudan,19016,Babban Gida,BUA,7.793115,11.291711,2614,96,grid - Intensification,5
Kaduna,KD,Kauran Wali North,KD1604,Kudan,19016,Kauran Wali North,BUA,7.820263,11.31304,7665,276,grid - Intensification,5
Kaduna,KD,Hunkuyi,KD1603,Kudan,19016,Hunkuyi,BUA,7.648902,11.26592,19375,694,grid - Intensification,5
Kaduna,KD,Taba,KD1609,Kudan,19016,Unguwar Yakubu Dan Aja,BUA,7.780691,11.273092,6424,232,grid - Intensification,5
Kaduna,KD,Doka,KD1601,Kudan,19016,Unguwar Nababa,BUA,7.771794,11.339639,1707,64,grid - Intensification,5
Kaduna,KD,Kudan,KD1606,Kudan,19016,Nasarawa,BUA,7.758265,11.333716,1466,55,grid - Intensification,5
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Anguwan Sallau,BUA,7.660741,11.285198,3013,110,grid - Intensification,5
Kaduna,KD,Zabi,KD1610,Kudan,19016,Anguwar Liman,BUA,7.738491,11.278391,4228,154,grid - Intensification,5
Kaduna,KD,Kauran Wali South,KD1605,Kudan,19016,Gidan Ango,SSA,7.834748,11.306318,91,8,grid - Intensification,5
Kaduna,KD,Doka,KD1601,Kudan,19016,Mazara,BUA,7.784035,11.329543,2344,87,grid - Intensification,5
Kaduna,KD,Doka,KD1601,Kudan,19016,Unguwar Sarki Doka,BUA,7.775452,11.359906,7071,255,grid - Intensification,5
Kaduna,KD,Doka,KD1601,Kudan,19016,Unguwar Nafiu,BUA,7.80613,11.361908,1893,70,grid - Intensification,5
Kaduna,KD,Garu,KD1602,Kudan,19016,Anguwan Ummaru,HA,7.691669,11.265647,137,9,grid - Intensification,5
Kaduna,KD,Taba,KD1609,Kudan,19016,HA_2,HA,7.800164,11.238414,44,11,grid,5
Kaduna,KD,Kauran Wali South,KD1605,Kudan,19016,Kauran Wali South,BUA,7.821551,11.308433,1476,56,grid - Intensification,5
Kaduna,KD,Taba,KD1609,Kudan,19016,Bagadi,SSA,7.77164,11.225606,93,8,grid - Intensification,5
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Kyau Dan Bako,SSA,7.632122,11.251274,88,7,grid - Intensification,5
Kaduna,KD,Zabi,KD1610,Kudan,19016,Anguwar Hudu,HA,7.698881,11.289247,283,13,grid - Intensification,5
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Anguwan Gani,HA,7.696084,11.273383,121,8,grid - Intensification,5
Kaduna,KD,Kauran Wali South,KD1605,Kudan,19016,Dan Gashi,SSA,7.853884,11.283803,303,14,grid - Intensification,5
Kaduna,KD,Sabon Garin,KD1608,Kudan,19016,Musawa,SSA,7.67196,11.238928,597,23,grid - Intensification,5
Kaduna,KD,Garu,KD1602,Kudan,19016,Anguwan Turaki,BUA,7.744727,11.248217,2759,101,grid - Intensification,6
