State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Lazuru Tuddai,KD1707,Lere,19017,HA_50,HA,8.742177,10.342258,18,5,grid - Intensification,3
Kaduna,KD,Kayarda,KD1705,Lere,19017,Rugan Fulani,HA,8.618152,10.522907,69,7,grid - Intensification,3
Kaduna,KD,Abadawa,KD1701,Lere,19017,HA_9,HA,8.74285,10.317813,73,7,grid - Intensification,3
Kaduna,KD,Kudaru,KD1706,Lere,19017,HA_21,HA,8.528866,10.516204,36,6,grid - Intensification,3
Kaduna,KD,Gure Kahugu,KD1704,Lere,19017,HA_11,HA,8.455868,10.233245,60,7,grid - Intensification,3
Kaduna,KD,Lazuru Tuddai,KD1707,Lere,19017,Rugan Ibrahim,HA,8.68527,10.381144,50,6,grid - Intensification,3
Kaduna,KD,Kayarda,KD1705,Lere,19017,HA_18,HA,8.607442,10.537497,30,6,grid - Intensification,3
Kaduna,KD,Sabon Birnin,KD1710,Lere,19017,Unguwan Kura,HA,8.680597,10.470157,2337,400,grid,3
Kaduna,KD,Abadawa,KD1701,Lere,19017,Kan Iyaka,HA,8.78161,10.293257,928,160,grid,3
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,Tashar Yango,HA,8.67095,10.564229,2034,348,grid,4
Kaduna,KD,Garu Mariri,KD1703,Lere,19017,Hayin Gwanyo Arewa,HA,8.571484,10.157385,538,94,grid,4
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,Jan Kanwa,BUA,8.659042,10.59781,5857,211,grid - Intensification,4
Kaduna,KD,Kayarda,KD1705,Lere,19017,Unguwan Gareji,BUA,8.596791,10.482357,3348,122,grid - Intensification,4
Kaduna,KD,Saminaka,KD1711,Lere,19017,Saminaka,BUA,8.676105,10.420193,58668,2096,grid - Intensification,4
Kaduna,KD,Sabon Birnin,KD1710,Lere,19017,Sabon Birnin,BUA,8.655526,10.440972,24351,872,grid - Intensification,4
Kaduna,KD,Saminaka,KD1711,Lere,19017,Kwaftara Yamma,HA,8.659943,10.39945,2200,377,grid,4
Kaduna,KD,Kudaru,KD1706,Lere,19017,Surtawa,BUA,8.554163,10.486565,5277,191,grid - Intensification,4
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,Dan Alhaji,BUA,8.693343,10.52976,14205,510,grid - Intensification,4
Kaduna,KD,Abadawa,KD1701,Lere,19017,Unguwan Sarki Ibrahim Bakin Kasuwa,BUA,8.696009,10.399217,17787,637,grid - Intensification,4
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,Sarki Street Tabo Tabo,HA,8.663622,10.570372,1851,317,grid,4
Kaduna,KD,Sabon Birnin,KD1710,Lere,19017,Jaja,HA,8.663714,10.449924,1636,62,grid - Intensification,4
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,Kwanar Narbi,HA,8.701478,10.501903,309,55,grid,4
Kaduna,KD,Kudaru,KD1706,Lere,19017,Mai Gamo,BUA,8.379099,10.688145,4585,166,grid - Intensification,4
Kaduna,KD,Dan Alhaji,KD1702,Lere,19017,HA_15,HA,8.696278,10.524984,175,10,grid - Intensification,4
Kaduna,KD,Lazuru Tuddai,KD1707,Lere,19017,Konan Bauda Arewa,HA,8.731436,10.33591,3612,132,grid - Intensification,4
Kaduna,KD,Kayarda,KD1705,Lere,19017,Kahuta,BUA,8.598012,10.496743,9441,340,grid - Intensification,4
Kaduna,KD,Lazuru Tuddai,KD1707,Lere,19017,Unguwar Sarki,BUA,8.558644,10.274895,6194,224,grid - Intensification,4
Kaduna,KD,Saminaka,KD1711,Lere,19017,Unguwar Kura,HA,8.655494,10.407535,135,24,grid,4
