State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Nasarawa Wandoya,KD1809,Makarfi,19018,HA_2,HA,7.893907,11.237816,76,7,grid - Intensification,3
Kaduna,KD,Dan Damisa,KD1801,Makarfi,19018,Rugar Shade,HA,7.827975,11.228117,27,6,grid - Intensification,3
Kaduna,KD,Makarfi,KD1807,Makarfi,19018,Makarfi,BUA,7.882246,11.372613,13558,487,grid - Intensification,3
Kaduna,KD,Gimi,KD1804,Makarfi,19018,Anguwan Sarki,BUA,7.936731,11.329469,9200,331,grid - Intensification,3
Kaduna,KD,Gimi,KD1804,Makarfi,19018,Gimi Tasha,BUA,7.91942,11.335342,3250,119,grid - Intensification,3
Kaduna,KD,Gubuchi,KD1805,Makarfi,19018,Angwan Ibrahim,BUA,8.008075,11.261862,4083,149,grid - Intensification,3
Kaduna,KD,Nasarawa Wandoya,KD1809,Makarfi,19018,Angwan Tutaki,BUA,7.904736,11.245906,13852,497,grid - Intensification,4
Kaduna,KD,Danguziri,KD1802,Makarfi,19018,Toll Gate,BUA,7.898517,11.331953,1385,238,grid,4
Kaduna,KD,Makarfi,KD1807,Makarfi,19018,HA_2,HA,7.886528,11.36626,554,21,grid - Intensification,4
Kaduna,KD,Danguziri,KD1802,Makarfi,19018,Angwan Dankiri,HA,7.871066,11.304158,3024,111,grid - Intensification,4
Kaduna,KD,Gwanki,KD1806,Makarfi,19018,Sabon Garin Tafida,BUA,8.054745,11.294181,2121,78,grid - Intensification,4
Kaduna,KD,Gwanki,KD1806,Makarfi,19018,Danbasa,HA,8.041556,11.318837,358,64,grid,4
Kaduna,KD,Gubuchi,KD1805,Makarfi,19018,Anguwan Shuaibu,BUA,8.025275,11.240993,18353,658,grid - Intensification,4
Kaduna,KD,Gimi,KD1804,Makarfi,19018,Tashar Yari,BUA,7.908755,11.344642,7058,255,grid - Intensification,4
Kaduna,KD,Tudun Wada,KD1810,Makarfi,19018,Kandahar,BUA,7.879392,11.383169,23329,835,grid - Intensification,4
Kaduna,KD,Meyari,KD1808,Makarfi,19018,Mayere,BUA,8.005927,11.32501,6873,248,grid - Intensification,4
Kaduna,KD,Gwanki,KD1806,Makarfi,19018,Fada,BUA,8.029122,11.34376,2598,95,grid - Intensification,4
