State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Dogarawa,KD1904,Sabon Gari,19019,Layin Nana Quality,BUA,7.723926,11.135153,40601,1220,grid - Intensification,3
Kaduna,KD,Jushi,KD1907,Sabon Gari,19019,Lungun Dan Asabe Mai Chemist,BUA,7.743379,11.091758,41694,1252,grid - Intensification,3
Kaduna,KD,Unguwar Gabas,KD1910,Sabon Gari,19019,Benin By Hajia Gambo Sawaba,BUA,7.739938,11.112602,21381,644,grid - Intensification,4
Kaduna,KD,Chikaji,KD1903,Sabon Gari,19019,Recreation Club,BUA,7.730656,11.11715,7827,238,grid - Intensification,4
Kaduna,KD,Muchiya,KD1908,Sabon Gari,19019,Layin Alhaji Usman,BUA,7.734128,11.125695,46016,1381,grid - Intensification,4
Kaduna,KD,Samaru,KD1909,Sabon Gari,19019,Galadima Road A,BUA,7.649956,11.162352,25219,759,grid - Intensification,4
Kaduna,KD,Chikaji,KD1903,Sabon Gari,19019,Layin Talakawa,BUA,7.727956,11.123735,10203,310,grid - Intensification,4
Kaduna,KD,Hanwa,KD1905,Sabon Gari,19019,Layin Jim Harrison,BUA,7.698079,11.125782,40009,1201,grid - Intensification,4
Kaduna,KD,Zabi,KD1911,Sabon Gari,19019,Yantukwane,BUA,7.739134,11.125633,35773,1074,grid - Intensification,4
Kaduna,KD,Basawa,KD1901,Sabon Gari,19019,Gidan Fulani,BUA,7.69203,11.145125,27843,837,grid - Intensification,4
Kaduna,KD,Bomo,KD1902,Sabon Gari,19019,Layin Kantsauni,BUA,7.647734,11.169014,52059,1562,grid - Intensification,4
Kaduna,KD,Zabi,KD1911,Sabon Gari,19019,Anguwan Magajin Aska,BUA,7.737088,11.145538,3540,110,grid - Intensification,4
Kaduna,KD,Bomo,KD1902,Sabon Gari,19019,Anguwar Gabas,BUA,7.63333,11.184361,7791,237,grid - Intensification,4
Kaduna,KD,Chikaji,KD1903,Sabon Gari,19019,Sokoto Road,BUA,7.72149,11.104917,312,13,grid - Intensification,4
Kaduna,KD,Basawa,KD1901,Sabon Gari,19019,Tudun Muntsira,BUA,7.67116,11.181146,6691,204,grid - Intensification,4
Kaduna,KD,Zabi,KD1911,Sabon Gari,19019,Hayin Fulani Maraba Gwanda,HA,7.746388,11.168512,148,9,grid - Intensification,4
Kaduna,KD,Bomo,KD1902,Sabon Gari,19019,Saban Birni,SSA,7.640437,11.17587,96,8,grid - Intensification,4
Kaduna,KD,Jama A,KD1906,Sabon Gari,19019,Alhaji Hassan Close,BUA,7.671974,11.134921,13562,410,grid - Intensification,4
Kaduna,KD,Basawa,KD1901,Sabon Gari,19019,Unguwar Sarki,SSA,7.690452,11.188525,92,8,grid - Intensification,5
Kaduna,KD,Zabi,KD1911,Sabon Gari,19019,Tsallaken Babban Titi,BUA,7.749256,11.164027,1072,41,grid - Intensification,5
Kaduna,KD,Basawa,KD1901,Sabon Gari,19019,Anguwar Yusi,BUA,7.693642,11.127724,5893,180,grid - Intensification,5
Kaduna,KD,Zabi,KD1911,Sabon Gari,19019,Tsallaken Dogo,HA,7.750716,11.162824,524,20,grid - Intensification,5
