State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Gwantu,KD2005,Sanga,19020,Rugan Ardo Ahmadu,HA,8.447839,9.234331,26,6,grid - Intensification,3
Kaduna,KD,Ayu,KD2003,Sanga,19020,Unguwar Hausawa Mayir,BUA,8.595533,9.241928,3729,136,grid - Intensification,3
Kaduna,KD,Ayu,KD2003,Sanga,19020,Atili,HA,8.595287,9.206321,458,19,grid - Intensification,3
Kaduna,KD,Gwantu,KD2005,Sanga,19020,Gwantu,BUA,8.457758,9.228929,16727,600,grid - Intensification,4
Kaduna,KD,Nandu,KD2007,Sanga,19020,Kobin,HA,8.517013,9.287029,1038,179,grid,4
Kaduna,KD,Aboro,KD2001,Sanga,19020,Unguwan Mallam Musa,BUA,8.570211,9.445988,1633,280,grid,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Fatu,HA,8.604855,9.185077,787,136,grid,4
Kaduna,KD,Nandu,KD2007,Sanga,19020,Ungwar Rimi,HA,8.485088,9.266703,1245,214,grid,4
Kaduna,KD,Ninzo South,KD2009,Sanga,19020,Amar Dogo,HA,8.522232,9.130954,770,31,grid - Intensification,4
Kaduna,KD,Nandu,KD2007,Sanga,19020,Numbu Gaza,HA,8.439172,9.213241,1097,42,grid - Intensification,4
Kaduna,KD,Karshi,KD2006,Sanga,19020,Sabon Gari,BUA,8.583776,9.379295,19308,692,grid - Intensification,4
Kaduna,KD,Bokana,KD2004,Sanga,19020,Ungwan Dariya,HA,8.547312,9.312313,837,145,grid,4
Kaduna,KD,Bokana,KD2004,Sanga,19020,Bokana,BUA,8.606531,9.347224,13507,485,grid - Intensification,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Kona Tigon,HA,8.594233,9.273522,700,122,grid,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Tigon 1,HA,8.59531,9.253207,2432,90,grid - Intensification,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Hayin Gada,HA,8.598482,9.230208,538,94,grid,4
Kaduna,KD,Ninzo North,KD2008,Sanga,19020,Gbaida,HA,8.510096,9.196853,486,86,grid,4
Kaduna,KD,Nandu,KD2007,Sanga,19020,Wambe,HA,8.497799,9.280299,1452,249,grid,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Agas,HA,8.612273,9.287198,4358,158,grid - Intensification,4
Kaduna,KD,Aboro,KD2001,Sanga,19020,Number 6,HA,8.565934,9.437851,3351,572,grid,4
Kaduna,KD,Ninzo North,KD2008,Sanga,19020,Unguwar Galadima,HA,8.528915,9.152233,2267,84,grid - Intensification,4
Kaduna,KD,Ninzo South,KD2009,Sanga,19020,Amar Jatau,HA,8.517547,9.106567,636,24,grid - Intensification,4
Kaduna,KD,Ninzo West,KD2010,Sanga,19020,Unguwar Kogi,HA,8.431162,9.173408,1691,64,grid - Intensification,4
Kaduna,KD,Karshi,KD2006,Sanga,19020,Kurmin Goro Titi,SSA,8.547583,9.479452,374,66,grid,4
Kaduna,KD,Karshi,KD2006,Sanga,19020,HA_5,HA,8.543736,9.482501,233,42,grid,4
Kaduna,KD,Ayu,KD2003,Sanga,19020,Ungwan Elisha,HA,8.609211,9.176772,247,12,grid - Intensification,5
Kaduna,KD,Gwantu,KD2005,Sanga,19020,Unguwan Jatau,HA,8.475126,9.258858,336,15,grid - Intensification,5
Kaduna,KD,Nandu,KD2007,Sanga,19020,Ungwar Gambo,HA,8.508178,9.283159,173,34,grid,5
Kaduna,KD,Ninzo West,KD2010,Sanga,19020,Unguwan Ibrahim,HA,8.48796,9.204463,1575,60,grid - Intensification,5
Kaduna,KD,Aboro,KD2001,Sanga,19020,Unguwan Mada Ajangwai,HA,8.564621,9.474447,2826,103,grid - Intensification,5
Kaduna,KD,Ninzo West,KD2010,Sanga,19020,Unguwar Makama A,HA,8.411798,9.154861,2377,88,grid - Intensification,5
Kaduna,KD,Karshi,KD2006,Sanga,19020,Mahanga,HA,8.578701,9.365538,348,63,grid,5
