State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Gimba,KD2104,Soba,19021,Sabon Layi,BUA,7.902088,11.066297,11179,402,grid - Intensification,3
Kaduna,KD,Kinkiba,KD2105,Soba,19021,Fada,BUA,7.878811,11.0056,10289,370,grid - Intensification,3
Kaduna,KD,Gamagira,KD2102,Soba,19021,Beribete,SSA,7.928497,10.72925,319,58,grid,3
Kaduna,KD,Gimba,KD2104,Soba,19021,Gimbi,BUA,7.954273,11.069604,15625,560,grid - Intensification,4
Kaduna,KD,Maigana,KD2107,Soba,19021,Tashar Kaya A,HA,7.97831,11.017593,1417,243,grid,4
Kaduna,KD,Kinkiba,KD2105,Soba,19021,Gidan Hamida,SSA,7.878447,11.014816,148,9,grid - Intensification,4
Kaduna,KD,Turawa,KD2110,Soba,19021,Anguwar Galadinma,BUA,8.06576,11.078234,14271,512,grid - Intensification,4
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwar Idi,SSA,8.069162,11.01316,351,15,grid - Intensification,4
Kaduna,KD,Maigana,KD2107,Soba,19021,Unguwar Shamaki,BUA,7.916388,11.035998,8208,296,grid - Intensification,4
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwar Sarki,BUA,8.001645,10.998254,4516,164,grid - Intensification,4
Kaduna,KD,Soba,KD2111,Soba,19021,Yalwa,SSA,8.015641,10.995687,404,71,grid,4
Kaduna,KD,Danwata,KD2101,Soba,19021,Gobirawa,SSA,8.166802,10.923233,188,36,grid,4
Kaduna,KD,Gimba,KD2104,Soba,19021,Chidau A,HA,7.917148,11.089255,833,145,grid,4
Kaduna,KD,Maigana,KD2107,Soba,19021,Marabar Marwa,HA,7.838851,11.053274,101,8,grid - Intensification,4
Kaduna,KD,Rahama,KD2108,Soba,19021,Ang Sarkin Fada,BUA,8.129182,10.889471,4852,176,grid - Intensification,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,Gidan Mai,BUA,7.903736,10.745159,4480,764,grid,4
Kaduna,KD,Turawa,KD2110,Soba,19021,Madarzai,SSA,8.029613,11.050735,312,14,grid - Intensification,4
Kaduna,KD,Soba,KD2111,Soba,19021,Soba,BUA,8.061442,10.984829,43862,1568,grid - Intensification,4
Kaduna,KD,Kinkiba,KD2105,Soba,19021,Hayin Makada,SSA,7.84893,11.014614,85,7,grid - Intensification,4
Kaduna,KD,Turawa,KD2110,Soba,19021,Anguwar Hajja,SSA,8.05435,11.067616,303,54,grid,4
Kaduna,KD,Richifa,KD2109,Soba,19021,Unguwar Makama,BUA,7.95237,11.166895,13943,500,grid - Intensification,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,Tsurutawa B,HA,7.893948,10.746451,312,56,grid,4
Kaduna,KD,Gimba,KD2104,Soba,19021,Shamaki,SSA,7.828001,11.076712,79,16,grid,4
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwan Dan Isa,BUA,8.092549,10.943094,1718,64,grid - Intensification,4
Kaduna,KD,Gimba,KD2104,Soba,19021,Wanka,BUA,7.884118,11.04427,2994,512,grid,4
Kaduna,KD,Maigana,KD2107,Soba,19021,Yakasai,BUA,7.848999,11.048863,4279,156,grid - Intensification,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,HA_13,HA,7.928034,10.732897,122,22,grid,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,Tama B,SSA,7.889861,10.742929,185,35,grid,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,Kampani,HA,7.882632,10.712944,238,43,grid,4
Kaduna,KD,Gimba,KD2104,Soba,19021,Jagaba,BUA,7.847563,11.106805,5005,181,grid - Intensification,4
Kaduna,KD,Gamagira,KD2102,Soba,19021,Katafila,HA,7.971602,10.706407,625,109,grid,4
Kaduna,KD,Soba,KD2111,Soba,19021,Tsallaken Dogo A,SSA,8.068568,10.983913,55,6,grid - Intensification,4
Kaduna,KD,Kinkiba,KD2105,Soba,19021,Wanka Rimi,SSA,7.884331,11.037339,516,91,grid,4
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwar Sako,SSA,7.986931,11.010617,404,71,grid,5
Kaduna,KD,Maigana,KD2107,Soba,19021,Unguwar Sarki,BUA,7.962978,11.022436,3227,118,grid - Intensification,5
Kaduna,KD,Maigana,KD2107,Soba,19021,G S S Quarters,HA,7.930405,11.032415,1542,59,grid - Intensification,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,Tsurutawa B,SSA,7.892671,10.74522,223,41,grid,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Anguwan Yankaura Ayuba,SSA,8.141288,10.97626,252,45,grid,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Sabon Gida North,SSA,8.129734,10.975157,339,61,grid,5
Kaduna,KD,Richifa,KD2109,Soba,19021,HA_9,HA,7.937513,11.142987,294,52,grid,5
Kaduna,KD,Kwasallo,KD2106,Soba,19021,Aunguwan Sarki,BUA,7.99203,11.189799,3795,138,grid - Intensification,5
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwan Malam Dogo,BUA,8.097865,10.98109,2727,466,grid,5
Kaduna,KD,Turawa,KD2110,Soba,19021,Sabongida,SSA,8.04964,11.060905,191,36,grid,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Dorayi,SSA,8.160093,10.917221,138,25,grid,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,SSA_1,SSA,7.880562,10.710056,198,37,grid,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,Tsauni,BUA,7.887139,10.692366,8108,292,grid - Intensification,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Anguwan Gardawa,BUA,8.190269,10.937769,5494,199,grid - Intensification,5
Kaduna,KD,Rahama,KD2108,Soba,19021,Tashan Ice B,SSA,8.108712,10.921251,345,15,grid - Intensification,5
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwan Liman,HA,8.027002,10.995569,190,36,grid,5
Kaduna,KD,Soba,KD2111,Soba,19021,Kofar Soba,HA,8.040502,10.990562,25,6,grid - Intensification,5
Kaduna,KD,Rahama,KD2108,Soba,19021,Hayin Malam Tanko,SSA,8.109751,10.861019,130,23,grid,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,Tama A,SSA,7.89146,10.74226,263,46,grid,5
Kaduna,KD,Kinkiba,KD2105,Soba,19021,Gidan Toro,SSA,7.874366,11.014965,227,12,grid - Intensification,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,SSA_4,SSA,7.907768,10.744237,105,20,grid,5
Kaduna,KD,Rahama,KD2108,Soba,19021,Hawan Kari B,SSA,8.166286,10.872066,274,13,grid - Intensification,5
Kaduna,KD,Soba,KD2111,Soba,19021,Shalabari,BUA,8.100246,10.995041,2679,458,grid,5
Kaduna,KD,Gamagira,KD2102,Soba,19021,Nasarawa,SSA,7.919148,10.737034,60,13,grid,5
Kaduna,KD,Soba,KD2111,Soba,19021,Unguwan Liman,SSA,8.026797,10.99375,268,47,grid,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Anguwan Yankaura Garba,SSA,8.142929,10.976728,277,13,grid - Intensification,5
Kaduna,KD,Turawa,KD2110,Soba,19021,Anguwar Madaki,BUA,8.087262,11.067085,2037,75,grid - Intensification,5
Kaduna,KD,Danwata,KD2101,Soba,19021,Tudun Wada A,HA,8.185752,10.934069,161,10,grid - Intensification,6
Kaduna,KD,Danwata,KD2101,Soba,19021,Sobawa,BUA,8.134856,10.969575,1483,255,grid,6
Kaduna,KD,Rahama,KD2108,Soba,19021,Anguwar Madaki,SSA,8.113735,10.91427,301,14,grid - Intensification,6
Kaduna,KD,Richifa,KD2109,Soba,19021,Unguwar Hussaini,SSA,7.926883,11.124866,430,18,grid - Intensification,6
Kaduna,KD,Maigana,KD2107,Soba,19021,Asd Farm,HA,7.866218,11.044695,174,34,grid,6
Kaduna,KD,Gimba,KD2104,Soba,19021,Sakaru,SSA,7.819719,11.064251,146,9,grid - Intensification,6
Kaduna,KD,Maigana,KD2107,Soba,19021,Unguwar Sarki Maigana,BUA,7.937992,11.023834,8183,295,grid - Intensification,6
Kaduna,KD,Soba,KD2111,Soba,19021,Anguwan Mohammadu Dankoli A,SSA,8.014747,10.998827,289,51,grid,6
Kaduna,KD,Rahama,KD2108,Soba,19021,Lemu,BUA,8.145711,10.909023,1131,43,grid - Intensification,6
Kaduna,KD,Gimba,KD2104,Soba,19021,SSA_12,SSA,7.900027,11.042252,140,25,grid,6
