State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Zonzon,KD2211,Zangon Kataf,19022,HA_1,HA,8.366009,9.796804,33,6,grid - Intensification,3
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Zonkwa Central,BUA,8.292999,9.783956,27953,1000,grid - Intensification,3
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Unguwan Nauta,HA,8.120667,9.997885,2032,75,grid - Intensification,3
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Fadan Kaje Saint Marry,HA,8.358062,9.757508,3272,120,grid - Intensification,3
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Ramai,HA,8.27621,9.793759,2309,86,grid - Intensification,3
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Kolosok,HA,8.173723,9.851982,528,92,grid,3
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Unguwan Duguru,HA,8.295128,9.864208,1857,69,grid - Intensification,4
Kaduna,KD,Zonzon,KD2211,Zangon Kataf,19022,Unguwan Wakili,BUA,8.390468,9.821985,5762,208,grid - Intensification,4
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Unguwan Tokan Kawai,BUA,8.299093,9.929059,4668,169,grid - Intensification,4
Kaduna,KD,Zaman Dabo,KD2208,Zangon Kataf,19022,Kurmin Masara,SSA,8.455055,9.855467,123,8,grid - Intensification,4
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Zuturung Pama,HA,8.192153,9.793862,1464,55,grid - Intensification,4
Kaduna,KD,Gidan Jatau,KD2201,Zangon Kataf,19022,Sakwak,HA,8.237142,9.661638,2181,81,grid - Intensification,4
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Unguwar Alama,BUA,8.185235,9.894931,6529,236,grid - Intensification,4
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Unguwar Ayyah,HA,8.294142,9.830916,1077,41,grid - Intensification,4
Kaduna,KD,Madakiya,KD2205,Zangon Kataf,19022,Wadon,HA,8.324072,9.744037,1411,53,grid - Intensification,4
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Holy Family,HA,8.250762,9.766054,4273,155,grid - Intensification,4
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Kajah Yari Kpunyai,HA,8.215694,9.601242,1545,59,grid - Intensification,4
Kaduna,KD,Zaman Dabo,KD2208,Zangon Kataf,19022,Kan Kurmi,HA,8.458916,9.856942,3153,116,grid - Intensification,4
Kaduna,KD,Madakiya,KD2205,Zangon Kataf,19022,Tachet,HA,8.323216,9.694627,643,112,grid,4
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Sania,HA,8.282991,9.892233,2732,100,grid - Intensification,4
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Unguwan Auta,BUA,8.276506,9.574613,8065,245,grid - Intensification,4
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Sabon Gari 1,HA,8.292981,9.915425,245,12,grid - Intensification,4
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Kari Vake,HA,8.318753,9.766577,7284,263,grid - Intensification,4
Kaduna,KD,Unguwar Gaya,KD2206,Zangon Kataf,19022,Samaru,BUA,8.386745,9.752946,13712,492,grid - Intensification,4
Kaduna,KD,Unguwar Gaya,KD2206,Zangon Kataf,19022,Unguwar Juji Tsakiya,BUA,8.377199,9.78453,2825,103,grid - Intensification,4
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Mangui,SSA,8.220571,9.589109,254,12,grid - Intensification,4
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Karyi Maza,HA,8.219574,9.612539,1947,71,grid - Intensification,4
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Bafai 2,SSA,8.288258,9.877321,180,10,grid - Intensification,4
Kaduna,KD,Madakiya,KD2205,Zangon Kataf,19022,Kamakakum,HA,8.326193,9.710722,3512,128,grid - Intensification,4
Kaduna,KD,Zaman Dabo,KD2208,Zangon Kataf,19022,Kibori,HA,8.424746,9.84481,2426,415,grid,4
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,HA_3,HA,8.304528,9.791725,430,18,grid - Intensification,4
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Zagom Gajere,HA,8.174078,9.862568,635,111,grid,5
Kaduna,KD,Kamantan,KD2204,Zangon Kataf,19022,Lenak,HA,8.146044,9.820912,645,24,grid - Intensification,5
Kaduna,KD,Kamantan,KD2204,Zangon Kataf,19022,Zuturung Sarki,HA,8.166132,9.790255,807,33,grid - Intensification,5
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Unguwan Chiroma,SSA,8.136061,9.995165,109,20,grid,5
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Unguwar Masat,HA,8.295162,9.807078,1514,260,grid,5
Kaduna,KD,Gora,KD2202,Zangon Kataf,19022,Rugar Ardo Jemo,HA,8.294593,9.843827,5161,187,grid - Intensification,5
Kaduna,KD,Ikulu,KD2203,Zangon Kataf,19022,Bakin Lamba,HA,8.171231,9.934425,433,76,grid,5
Kaduna,KD,Kamantan,KD2204,Zangon Kataf,19022,Kafom,HA,8.139213,9.829898,1311,48,grid - Intensification,5
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Unguwan Hausawa,HA,8.22529,9.586519,3619,132,grid - Intensification,5
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,HA_1,HA,8.330067,9.763533,107,8,grid - Intensification,5
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Unguwan Zabiya,HA,8.263959,9.576895,3392,124,grid - Intensification,5
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,Aruwara,HA,8.198621,9.543495,534,21,grid - Intensification,5
Kaduna,KD,Unguwan Rimi,KD2207,Zangon Kataf,19022,HA_1,HA,8.190133,9.525786,225,12,grid - Intensification,5
Kaduna,KD,Zonkwa,KD2210,Zangon Kataf,19022,Achayak,HA,8.315272,9.798409,2446,418,grid,5
Kaduna,KD,Zango Urban,KD2209,Zangon Kataf,19022,River Basin,HA,8.41372,9.843802,243,43,grid,5
