State,Statecode,Ward,Wardcode,Lga,Lgacode,Name,Type,X,Y,Population,Target.Household.Count,Recommended.Access.Categories,DecileByHH
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Hayin Surajo,SSA,7.528161,11.001258,116,8,grid - Intensification,3
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Gidan Mahauta Bogari,SSA,7.781315,11.037508,196,11,grid - Intensification,3
Kaduna,KD,Kwarbai A,KD2306,Zaria,19023,Bula Area,BUA,7.7197,11.071102,32116,965,grid - Intensification,3
Kaduna,KD,Kwarbai A,KD2306,Zaria,19023,Fadi Sonka,BUA,7.709893,11.063484,60481,1814,grid - Intensification,3
Kaduna,KD,Unguwar Fatika,KD2311,Zaria,19023,Anguwan Alli By Malam Sani,BUA,7.696094,11.067987,32744,984,grid - Intensification,3
Kaduna,KD,Kwarbai B,KD2307,Zaria,19023,Layin Gidab Aboki Tela,BUA,7.701841,11.066028,84244,2526,grid - Intensification,3
Kaduna,KD,Kaura,KD2304,Zaria,19023,Fam Madauchi,BUA,7.709109,11.051609,56962,1709,grid - Intensification,3
Kaduna,KD,Tudun Wada,KD2310,Zaria,19023,Namatazu Road,BUA,7.717255,11.088013,52249,1568,grid - Intensification,3
Kaduna,KD,Tukur Tukur,KD2309,Zaria,19023,Hayan Mamuda,BUA,7.703062,11.101193,73816,2214,grid - Intensification,4
Kaduna,KD,Dambo,KD2302,Zaria,19023,HA_7,HA,7.75532,11.130139,1912,70,grid - Intensification,4
Kaduna,KD,Unguwar Juma,KD2312,Zaria,19023,Layin Gidan Marafa,BUA,7.693468,11.053457,36562,1098,grid - Intensification,4
Kaduna,KD,Kufena,KD2305,Zaria,19023,Anguwan Jumare,BUA,7.685187,11.083337,23837,718,grid - Intensification,4
Kaduna,KD,Gyellesu,KD2303,Zaria,19023,Congo Staff Quarters,BUA,7.729404,11.084133,23587,710,grid - Intensification,4
Kaduna,KD,Kufena,KD2305,Zaria,19023,Gwargwaje,BUA,7.67959,11.053646,19450,585,grid - Intensification,4
Kaduna,KD,Limancin Kona,KD2308,Zaria,19023,Bataiya Tsakiya,BUA,7.69642,11.046437,39889,1198,grid - Intensification,4
Kaduna,KD,Dambo,KD2302,Zaria,19023,Anguwan Sarkin Pada,BUA,7.756982,11.081874,9726,295,grid - Intensification,4
Kaduna,KD,Unguwar Fatika,KD2311,Zaria,19023,Anguwan Mahauta By Gidan Mahauta,BUA,7.689299,11.057184,13492,408,grid - Intensification,4
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Bogari Sarkin,SSA,7.779554,11.028178,182,10,grid - Intensification,4
Kaduna,KD,Tukur Tukur,KD2309,Zaria,19023,Tsohuwar Kasuwa,BUA,7.68765,11.077445,1574,51,grid - Intensification,4
Kaduna,KD,Gyellesu,KD2303,Zaria,19023,Baban Gimi,BUA,7.69208,11.042348,15832,479,grid - Intensification,4
Kaduna,KD,Gyellesu,KD2303,Zaria,19023,Anguwan Kaya,BUA,7.732344,11.07365,2662,84,grid - Intensification,4
Kaduna,KD,Kufena,KD2305,Zaria,19023,Kuregu Bakin Saint Barth,BUA,7.671608,11.07234,3470,108,grid - Intensification,4
Kaduna,KD,Dambo,KD2302,Zaria,19023,Anguwar Yarbawa Bizara,BUA,7.752611,11.068732,2060,65,grid - Intensification,4
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Rafinfa,HA,7.793322,11.035719,899,36,grid - Intensification,4
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Gidan Begu Tudun Kusa,HA,7.768536,11.036536,581,22,grid - Intensification,4
Kaduna,KD,Kwarbai A,KD2306,Zaria,19023,Layin Mallam Isyaka,SSA,7.721782,11.06518,596,23,grid - Intensification,4
Kaduna,KD,Kufena,KD2305,Zaria,19023,Angwan Sarkin Kufina Gangare,SSA,7.675656,11.095378,84,7,grid - Intensification,4
Kaduna,KD,Tukur Tukur,KD2309,Zaria,19023,HA_1,HA,7.694753,11.104901,337,15,grid - Intensification,4
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Anguwan Sarkin Wuciciri,BUA,7.77931,10.97082,5466,198,grid - Intensification,4
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Kwaba Unguwar Magaji,BUA,7.529067,11.014547,1843,68,grid - Intensification,5
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,HA_34,HA,7.774836,11.024189,107,8,grid - Intensification,5
Kaduna,KD,Dambo,KD2302,Zaria,19023,Layin Christopher,SSA,7.748302,11.079217,387,16,grid - Intensification,5
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Gamji,HA,7.778231,11.008821,828,34,grid - Intensification,5
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Kafi,BUA,7.584733,11.057017,1886,70,grid - Intensification,5
Kaduna,KD,Dambo,KD2302,Zaria,19023,Anguwan Sarkin Noma,HA,7.771685,11.074572,627,23,grid - Intensification,5
Kaduna,KD,Kufena,KD2305,Zaria,19023,Angwan Sarkin Kufina Gidan Dogo,SSA,7.679256,11.093462,134,9,grid - Intensification,5
Kaduna,KD,Dambo,KD2302,Zaria,19023,Unguwar Sarki,BUA,7.780521,11.075916,3288,102,grid - Intensification,5
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Kwaren Gebriel,SSA,7.64711,11.039344,293,14,grid - Intensification,5
Kaduna,KD,Dambo,KD2302,Zaria,19023,Anguwan Sarkin Rafinfa,SSA,7.79935,11.040468,288,13,grid - Intensification,5
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Babangida Tudun Kusa,SSA,7.763153,11.045831,393,17,grid - Intensification,5
Kaduna,KD,Dambo,KD2302,Zaria,19023,Anguwan Malam Fate,HA,7.806967,11.045652,249,12,grid - Intensification,5
Kaduna,KD,Kufena,KD2305,Zaria,19023,Bayan Ganuwa,SSA,7.688258,11.070958,582,22,grid - Intensification,5
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Kanfani A,SSA,7.658983,11.054296,369,16,grid - Intensification,5
Kaduna,KD,Kufena,KD2305,Zaria,19023,Kufena College Quarters Kuregu,BUA,7.664841,11.076048,296,12,grid - Intensification,5
Kaduna,KD,Unguwar Fatika,KD2311,Zaria,19023,New Majema Tsoho Mai Allura,BUA,7.684736,11.054313,1060,35,grid - Intensification,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,Yan Hula,SSA,7.662059,11.124163,191,11,grid - Intensification,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,HA_1,HA,7.693476,11.105875,75,7,grid - Intensification,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,Kauran Gobirawa,SSA,7.685582,11.069926,379,16,grid - Intensification,6
Kaduna,KD,Wuciciri,KD2313,Zaria,19023,Anguwan Ya'U,SSA,7.766623,10.979597,484,19,grid - Intensification,6
Kaduna,KD,Gyellesu,KD2303,Zaria,19023,Anguwan Mai Darasi,BUA,7.698583,11.038162,2304,73,grid - Intensification,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,Dalan Waje Gangaren Rafi,SSA,7.656455,11.074481,99,8,grid - Intensification,6
Kaduna,KD,Gyellesu,KD2303,Zaria,19023,Rafin Albasa,BUA,7.683243,11.050805,505,19,grid - Intensification,6
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Fantan,SSA,7.542526,11.023664,220,40,grid,6
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Kwatirawa,HA,7.543969,11.026852,394,69,grid,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,Dalan Ciki,SSA,7.65991,11.064634,212,11,grid - Intensification,6
Kaduna,KD,Dutsen Abba,KD2301,Zaria,19023,Katafawa,HA,7.65193,11.04738,197,11,grid - Intensification,6
Kaduna,KD,Kufena,KD2305,Zaria,19023,Angwan Sarki Kufina Bayan Ganowa,HA,7.673243,11.098956,662,25,grid - Intensification,6
